"English","日本語";
"Suit Maintenance","スーツのメンテナンス";
"2-1. The EVA Suit designed for the Osiris Mission is equipped with state-of-the-art sensors. These sensors in turn, provided detailed and up-to-the minute status reports on the viability and integrity of the EVA suit. Monitoring these readings in the HUD are integral to survivability. The sensors monitor: oxygen levels, temperature, hydration/nutrition levels, and health and suit health. 

2-2. Oxygen Levels: Monitoring oxygen consumption is integral. Without oxygen, there is no breathing. Be mindful that running and other taxing activity consume more oxygen. Oxygen will replenish based on traces of O2 in the atmosphere.

2-3. Temperature: Maintaining a viable suit temperature is of the utmost importance. Some climes within the Gliese 581 system will harbor environments that are blistering cold, piercingly hot, and variables in between. If the suit becomes too cold, look for ways to increase the temperature, as hypothermia may ensue. If the suit becomes too hot, look for ways to decrease the temperature, as it may result in death.

2-4. Hydration/Nutrition: Hydration is the outer ring while Nutrition is the inner ring.  Hunger and thirst, if not remedied, can cause a decline in health and performance. Your actions such as running and jumping will impact your thirst and hunger.

2-6. Health/Suit Integrity: Health is the outer ring while Suit Integrity is the inner ring. In instances or severe injuries or suit breaches, Oxygen levels will drop. To fix suit breaches or severe injuries, equip and use bandages, either found or crafted. ","2-1。 Osiris Mission用に設計されたEVAスーツは最先端のセンサーを備えています。これらのセンサーは、EVAスーツの実行可能性と完全性に関する詳細かつ最新のステータス報告を提供しました。 HUDのこれらの測定値を監視することは、生存可能性に不可欠です。センサーは、酸素レベル、温度、水和/栄養レベル、および健康とスーツの健康を監視します。

2-2。酸素レベル：酸素消費量のモニタは不可欠です。酸素なしでは、呼吸はありません。実行やその他の課税活動がより多くの酸素を消費することに注意してください。酸素は大気中のO 2の痕跡に基づいて補充されます。

2-3。温度：実行可能な温度を維持することは最も重要です。 Gliese 581システム内のいくつかのクリムは、風邪、積極的に暑く、そして変数を中にぼやけている環境を抱えています。スーツが寒すぎると、低体温が発生する可能性があるため、温度を上げる方法を探します。スーツが暑くなりすぎると、死が発生する可能性があるため、温度を下げる方法を探します。

2-4。水和/栄養：水分補給は外輪であり、栄養は内輪です。怒られていない場合は、敵と渇望が治療されていない場合は、健康と性能が低下する可能性があります。ランニングやジャンプなどのあなたの行動はあなたの渇きと飢餓に影響を与えます。

2-6。健康/スーツの整合性：健康は外輪ですが、スーツの完全性は内輪です。インスタンスや激しい怪我や違反の侵害では、酸素レベルが低下します。スーツの侵害や激しい怪我を修正するには、包帯を装備して使用しています。";
"2-7. If the EVA suit becomes damaged or breached during exploration of the Gliese 581 system, make sure to equip and use patch tape to address the breach. Then equip and use bandages to re-stabilize suit integrity. Failure to do so may result in suffocation or possibly death.
","2-7。 EVAスーツがGliese 581システムの探査中に損傷を受けるか違反された場合は、必ず違反に対処するためにパッチテープを装備して使用してください。その後、包帯を装備して使用してスーツの完全性を安定させます。そうしないと、窒息やおそらく死亡する可能性があります。
";
"*Use patch tape to repair your EVA suit.","*あなたのEVAスーツを修復するためにパッチテープを使用してください。";
"2-8. To ensure optimal EVA performance is achieved, suit maintenance is required when necessary. Patch tape and bandages are required deal with suit breaches. Failure to maintain the suit may result in suffocation or possibly death.

Be sure to mind the environment. Beware of sharp objects as these can pierce your suit and cause a suit breach. Take caution in climbing steep slopes, crouching carefully where possible.","2-8。最適なEVAの性能が達成されるようにするには、必要に応じてメンテナンスが必要です。パッチテープと包帯はスーツの侵害を伴う扱いに必要です。スーツを維持しないと、窒息やおそらく死が発生する可能性があります。

必ず環境に気にしてください。これらがあなたのスーツを突き刺し、違反を引き起こす可能性があるので、鋭利なオブジェクトに注意してください。可能な限り慎重にしゃがんだり、急な斜面を登って注意してください。";
"*Use patch tape and bandages for EVA suit repair and maintenance.","* EVAスーツの修理とメンテナンスのためのパッチテープと包帯を使用してください。";
"*Keep your eye on o2 readings. Be sure to allow your o2 scrubber to replenish while in atmospheres with gases that contain oxygen. NOTE - o2 does not replenish while in space or in very thin atmospheres.","* O2の読み取りを目にしてください。 O 2スクラバーは、酸素を含むガスと雰囲気中で入りながら補充することを必ず許可してください。注 -  o2は空間内または非常に薄い雰囲気中で補充されません。";
"*Zero oxygen will cause suffocation. It is advisable to cease moving until your o2 scrubber can begin to replenish o2 in your EVA suit.","*ゼロ酸素は窒息を引き起こします。あなたのO2スクラバーがあなたのEVAスーツでO2を補充することができるまで、動くことを止めることをお勧めします。";
"2. Osiris Mission EVA Suit","オシリスミッションエヴァスーツ";
"Physical Conditioning","身体調整";
"Hydration","水分補給";
"Food Preparation","食品の調理";
"3-1. Quality of life is largely dependent on nutrition, hydration and general health. Over time, physical condition can deteriorate, affecting speed and survival. Hunger and thirst, if not remedied, can cause a decline in health and performance. Climate conditions such as heat and cold also have an effect. It is imperative to monitor these using the suit readings provided.

3-2. When physical condition decreases and health is impaired, healing is possible using certain types of food and bandages. Healing is crucial in order to sustain life.
","3-1。生活の質はほとんど栄養、水和、そして一般的な健康に依存しています。時間の経過とともに、体調が悪化し、速度と生存に影響を与える可能性があります。怒られていない場合は、敵と渇望が治療されていない場合は、健康と性能が低下する可能性があります。熱や寒さなどの気候条件も効果があります。提供されたスーツの読みを使用してこれらを監視することは不可欠です。

3-2。体調が低下し、健康が損なわれると、特定の種類の食品や包帯を使用して治癒が可能です。命を維持するために癒しは非常に重要です。
";
"3-3. Loss of body water, or dehydration, plays a major role in health and survival. Depending upon level of exertion, hydration needs will fluctuate. Be sure to check hydration levels and consume water whenever the suit reading (located in the lower left-hand corner) indicates the need to do so.
","3-3。体の水の喪失、または脱水は、健康と生存に大きな役割を果たします。運動レベルに応じて、水和ニーズが変動します。スーツの読み取り（左下隅にある）がそうする必要性を示すときはいつでも、水分補給レベルを確認して水を消費してください。
";
"3-4. Poor nutrition contributes to deterioration in quality of life and chance of survival. Caloric intake is necessary, as well as attention to the types and sources of calories. Almost anything is edible, but not every type of food will heal. Some sources of nutrition will only satisfy the need for calories. Remember to monitor hunger in the suit readings (located in the lower left-hand corner) and replenish calories as needed.
","3-4。栄養不良が生き残ることや生存の可能性の悪化に貢献します。カロリーの種類や源への注意が必要です。ほとんど何でも食用がありますが、あらゆる種類の食品が癒されるわけではありません。いくつかの栄養源はカロリーの必要性を満たすだけです。必要に応じて、（左下隅にある）スーツの読みで飢えを監視し、カロリーを補充してください。
";
"Hypothermia","低体温";
"Dehydration","脱水";
"Minor Injuries","軽傷";
"Severe Injuries","激しい怪我";
"4-1. Cold injuries, both freezing and non-freezing, are a serious threat. Hypothermia is a potentially dangerous drop in body temperature, usually caused by prolonged exposure to cold temperatures. Keeping aware of the outside temperature and suit temperature is vital.  Cold weather injury prevention and timely shelter construction are also critical and may help avoid debilitating injuries. When temperatures drop, be sure to employ methods of creating internal warmth.","4-1。冷たい怪我、凍結と非凍結の両方は深刻な脅威です。低体温は体温の潜在的に危険な低下、通常は低温温度への長期暴露によって引き起こされます。外部温度とスーツの温度を気付くことは不可欠です。寒い気象のけがの防止とタイムリーな避難所建設も重要であり、衰弱さの衰弱を回避するのに役立ちます。気温が低下すると、内部暖かさの作成方法を必ず採用してください。";
"4-2. Dehydration happens when your body doesn't have as much water as it needs. Without enough, your body can't function properly. You can have mild, moderate, or severe dehydration depending on how much fluid is missing from your body. Avoid becoming dehydrated by checking the suit reading on hydration level (located in the lower left-hand corner.) Replenish and consume fluids on a regular basis. When temperatures rise due to weather conditions, decreasing internal suit temperature may become necessary to avoid dehydration and even fatality.

Food can be a source of hydration if a Chem Station to create water is not available.","4-2。あなたの体が必要なものと同じくらい多くの水を持っていないとき、脱水は起こります。十分なしに、あなたの体は正しく機能することはできません。体からどれだけの流体が欠けているかに応じて、軽度の、中程度、または重度の脱水を持つことができます。水和レベル（左下隅にある）のスーツの読み取りを確認することで脱水しないでください。液体を定期的に補充して消費する。気象条件のために温度が上がると、脱水や致死性を避けるために内部スーツの温度を下げることが必要になる可能性があります。

水を作り出すための化学ステーションが利用できない場合、食品は水分補給源となる可能性があります。";
"4-3. It is very likely that minor injuries will occur when in combat against indigenous creatures, during missions, or even performing regular tasks. Suit breaches are the most common type of minor injury. If a suit breach occurs, use patch type to repair as soon as is possible.
","4-3。軽心の生き物に対して、ミッション中、または定期的な作業を実行することさえある場合は、軽傷が発生する可能性が非常に高いです。スーツの侵害は、最も一般的な種類の軽傷を負っています。スーツの違反が発生した場合は、可能な限り早く修理するためにパッチタイプを使用してください。
";
"*Bandages can heal minor wounds.","*包帯はマイナーな傷を癒すことができます。";
"*If on a planet with foliage species, attempt to create crude bandages when out of manuafactured bandage reserves.","*葉の種を持つ惑星の上にある場合は、マナファチュレッド包帯準備が払われているときに粗包帯を作成しようとします。";
"4-4. In the event a severe injury occurs, immediately find or craft bandages and use them to heal. If this is not done in an expedient manner, health will rapidly deteriorate and death may follow shortly thereafter.
","4-4。イベントでは、激害が起こり、直ちに包帯を見つけたりクラフトしたり、癒しに使用したりします。これが便利な方法で行われていない場合、健康は急速に悪化し、その後間もなく死亡することができます。
";
"*Where possible, create large amounts of crude bandages while reserving Medkits for only dire situations.","*可能であれば、Direの状況のみのためのメドキーを予約しながら、大量の粗包帯を作成します。";
"*Medkits can save your life when experiencing severe wounds.","* Medkitsは重度の傷を経験するときにあなたの人生を救うことができます。";
"Navigation","ナビゲーション";
"5-1. Navigating through the Gliese 581 System can be both enthralling and frightening. But basic navigation shouldn’t be confusing.

5-2. The Locator provided for the Osiris Mission is an extremely helpful navigational tool. Equipping the locator will reveal the terrain’s topography, names of discovered areas, locations of resources (as indicated by icons), as well as longitude and latitude. Metallic objects will appear on your Locator, as well as your structures.

5-3. Longitude: Longitude is the designated coordinate that identifies the east-west position of a point on the planets terrain. 

5-4. Latitude: Latitude is the designated coordinate that identifies the north-south position of a point on the planets terrain.

5-5. Compass: Your compass is shown in the Top Middle of your display and indicates your direction along with any primary structures you own.
","5-1。 gliese 581システムを介してナビゲートすることは、魅力的で恐ろしいの両方であり得る。しかし基本的なナビゲーションは混乱しないでください。

5-2。オシリスの使命に提供されるロケータは非常に役立つナビゲーションツールです。ロケーターを装備すると、地形の地形、発見された地域の名前、リソースの場所（アイコンで示すように）、および経度と緯度が明らかになります。あなたの構造体だけでなく、メタリックオブジェクトはあなたのロケータに表示されます。

5-3。経度：経度は、惑星の地形上のポイントの東西位置を識別する指定座標です。

5-4。緯度：緯度は、惑星の地形上のポイントの南北位置を識別する指定座標です。

5-5。コンパス：あなたのコンパスはあなたのディスプレイの上部中央に表示され、あなたが所有するどんな主な構造と共にあなたの方向を示します。
";
"*Locator will give you positional coordinates on your current planet and can help find natural resources.","*ロケーターはあなたの現在の惑星の位置座標を与え、天然資源を見つけるのに役立ちます。";
"DATA NOT AVAILABLE
","データが利用できません
";
"Tools","ツール";
"Artillery","砲兵";
"Combat Tactics","戦闘戦術";
"6-1. When exploring and crafting, different tools will be useful in accomplishing various tasks. Tools do not have infinite usage and will wear down over time. It is imperative to repair tools when necessary and/or craft new ones as needed. The rate of decay varies from tool to tool. Some tools will require recipes and specific resources, obtainable only by mining or harvesting them, in order to be crafted. Most tools are only useful for mining, though there are a couple that may be used in combat. These are referred to as hybrid tools.

6-2. Keep in mind that not all tools are able to be obtained right from the start. Some tools will only become available as progress is made and skill points are acquired.","6-1。探索と作成時に、さまざまなタスクを実行するのに役立ちます。ツールは無限の使用をしており、時間の経過とともに磨耗します。必要に応じて、必要に応じて新しいものを修理することが不可欠です。減衰率は工具ごとに異なります。いくつかのツールは、作成されるために、それらを採掘または収穫することによってのみ得られるレシピと特定のリソースを必要とするでしょう。ほとんどのツールは採掘にのみ役立ちますが、戦闘で使用される可能性があるカップルがあります。これらはハイブリッドツールと呼ばれます。

6-2。すべてのツールを開始から正しく入手できるわけではないことに注意してください。進歩が行われ、スキルポイントが取得されるため、一部のツールは利用可能になるだけです。";
"*Chisel can be used to break down minerals.","*チゼルはミネラルを分解するために使用することができます。";
"*Shovel can gather loose materials like sand.","*シャベルは砂のような緩い材料を集めることができます。";
"6-3. Artillery can be used to protect against indigenous creatures and human threats.  There are several different types of weapons available for use, not all of them available immediately. Which weapons are initially given depends on chosen class: Marine, Scientist, Ranger, or Engineer. There are two main categories of artillery, Melee and Ranged. Each weapon sustains and gives different levels of damage, depending on ammo and weapon type.","6-3。砲兵は、先住民の生き物や人間の脅威から保護するために使用することができます。使用可能な武器にはいくつかの異なる種類があります。どの武器が最初に与えられているかは、農民、科学者、レンジャー、またはエンジニアによって選択されたクラスによって異なります。砲兵の2つのカテゴリー、近接、そして範囲があります。各武器は維持し、弾薬と武器の種類によって異なる損傷を与えます。";
"*For ranged weapons be mindful of ammunition reserves.","*さまざまな武器のために弾薬埋蔵量に注意してください。";
"*Melee weapons take a lot of punishment and frequently need to be repaired.","*近接武器は多くの罰を受け、頻繁に修理する必要があります。";
"6-4. Strategy is a key component to surviving Gliese 581 and all that it encompasses. Remaining vigilant at all times and keeping an eye on the horizon is of dire importance. Threats to safety come not only in the form of environmental events, but also indigenous creatures and even other humans. Be prepared. Keep weapons at the ready and fully stocked with ammunition. In some cases, the best tactic is actually fleeing as quickly as possible. Tactics will change on a case by case basis and require critical thinking as well as quick reflexes.","6-4。戦略は、gliese 581とそれが網羅するすべてのものを生き残るための重要な要素です。常に警戒して、地平線に目を向けておくことは恐れがあります。安全への脅威は、環境イベントの形でだけでなく、先住民の生き物や他の人間でもあります。準備して。準備ができて武器を保管し、弾薬を完全に在庫しています。場合によっては、最高の戦術は実際にできるだけ早く逃げています。戦術はケースで変化し、迅速な反射と同様に批判的思考を必要とします。";
"Comms Feed","コムフィード";
"Locating Personnel","人間の位置を見つける";
"Colony Development","コロニー開発";
"7-1. Proper and meaningful communication is extremely valuable and an important tool when exploring the Gliese 581 System. That’s where the Communication Feed is a helpful tool. To access the Communication Feed, press ENTER and then one of the chat commands as needed. 

Chat Commands are as follows:
[TAB] Cycle Available Channels
[/g] Global Channel
[/l] Local Channel
[/c] Colony Channel
[/p] Party Channel
[/w] Whisper Channel
[/r] Reply to previous Whisper
[/ix] Ignore Channel x
[/ux] Unignore Channel x
[/ping] Toggle Audio Ping
[/ompa help] O.M.P.A. Commands
","7-1。適切で意味のあるコミュニケーションは、Gliese 581システムを探索するときに非常に価値があり、重要なツールです。それが通信フィードが役立つツールである場所です。通信フィードにアクセスするには、必要に応じてEnter以降のチャットコマンドを押します。

チャットコマンドは次のとおりです。
[TAB]サイクル利用可能なチャンネル
[/ g]グローバルチャンネル
[/ l]ローカルチャンネル
[/ c]コロニーチャンネル
[/ P]パーティーチャネル
[/ w]ささやきチャンネル
[/ r]前のささやきに返信してください
[/ IX]チャネルXを無視します
[/ UX] unignoreチャネルX.
[/ ping]オーディオピンを切り替えます
[/ ompaヘルプ] o.p.a.コマンド
";
"DATA NOT AVAILABLE 
","データが利用できません
";
"7-2. Locating other personnel within the Gliese 581 System can greatly increase the chance of survival. That’s why it’s key to constantly be on the look out for others roaming the foreign terrain. 

7-3. One way to locate Personnel is through the Communication Feed located in the upper left-hand corner of your HUD. To access this helpful tool, press ENTER and then locate the appropriate channel you wish to chat in. Once communication with other personnel has been achieved, share the current coordinates and wait until they arrive at the location. 

7-4. Another way to locate personnel is through the use of the Flare Gun. For those times when communication is down or not working, simply equip the flare gun, point it towards the sky, and fire. This will alert any other personnel within the vicinity. 
","7-2。 Gliese 581システム内の他の人員を見つけることは、生存の可能性を大幅に増やすことができます。それが、外国の地形をローミングする他の人のために絶えず絶えずされるのが鍵です。

7-3。人員を見つける1つの方法は、HUDの左上隅にある通信フィードを通してです。この役に立ちましたツールにアクセスするには、Enterキーを押してからチャットしたい適切なチャンネルを見つけます。他の人員との通信が達成されると、現在の座標を共有して、場所に到着するまで待ちます。

7-4。人員を見つけるためのもう一つの方法はフレアガンの使用を通してです。コミュニケーションが停止していない場合は、フレアガンを装備し、空に向かってそれを発射してください。これにより、その他の職員に近くの職員に警告します。
";
"*Flares can be used to locate personnel.","*フレアは人員を見つけるために使用することができます。";
"7-5. U.N.E. operatives may find themselves coming into contact with other personnel. In these situations, these personnel can group up by either setting up a party or colony. 

7-6. Setting Up A Party: For the personnel creating a party, they need to walk up to the other operative, look at them, and then press [F] to invite. The personnel joining the party must then look and the inviter and then click [ACCEPT] in the menu.
","7-5。 u u手作りは自分自身が他の人員と接触するのを見つけるかもしれません。このような状況では、これらの人員はパーティーやコロニーを設定することによってグループ化することができます。

7-6。パーティーを設定する：パーティーを作成する担当者のために、彼らは他の手術を行って、それらを見てから[F]を押して招待する必要があります。当事者に参加する担当者は、そしてインバータを見て、メニューの[承諾]をクリックする必要があります。
";
"7-5. U.N.E. operatives may find themselves coming into contact with other personnel. In these situations, these personnel can group up by either setting up a party or colony. 

7-6. Setting Up A Party: For the personnel creating a party, they need to walk up to the other operative, look at them, and then press [F] to invite. The personnel joining the party must then look and the inviter and then click [ACCEPT] in the menu.

7-7. Setting Up A Colony: A colony is a territory at a specific location on a planet or moon, claimed and controlled by at least one personnel. Personnel can automatically claim a territory when placing a structure on unclaimed ground. This colony can be joined by other personnel when it has been officially created. Creating a colony can be done by following the steps below:

Click on ‘Create Colony.’
Add other personnel by using the multi tool. Please note that personnel have to belong to the same faction in order to join a colony.

Adding other personnel to an existing colony automatically gives them access to anything that is built or crafted after they joined. In order to give them access to previously built/crafted objects, the creator of the colony needs to give access manually using the multi-tool on each object (make public to colony).","7-5。 u u手作りは自分自身が他の人員と接触するのを見つけるかもしれません。このような状況では、これらの人員はパーティーやコロニーを設定することによってグループ化することができます。

7-6。パーティーを設定する：パーティーを作成する担当者のために、彼らは他の手術を行って、それらを見てから[F]を押して招待する必要があります。当事者に参加する担当者は、そしてインバータを見て、メニューの[承諾]をクリックする必要があります。

7-7。コロニーを設定する：コロニーは、惑星や月の特定の場所にある領域で、少なくとも1人の職員によって請求され管理されています。要員は、除血されていない地面に構造を置くときに自動的に領土を主張することができます。このコロニーは、正式に作成されたときに他の人員によって結合することができます。コロニーを作成するには、以下の手順に従って行うことができます。

「コロニーを作成」をクリックしてください。
マルチツールを使用して他の人員を追加します。民主党に参加するために職員は同じ派閥に属する必要があります。

既存のコロニーに他の人員を追加すると、自動的に結合された後に構築または作成されたものへのアクセスが自動的にアクセスできます。以前に構築されたオブジェクトへのアクセスを与えるために、コロニーの作成者は、各オブジェクトのマルチツールを使用して手動でアクセスする必要があります（Publicをコロニーにする）。";"
#VALUE!
"Access to utilities","ユーティリティへのアクセス";
",MISSING_TRANSLATION;","、Missing_translation; ";
"7. Commuinications","コミュニション";
"Basic Shelter","基本避難所";
"Habitat System","生息地システム";
"Maintenance","メンテナンス";
"8-1. Creating some form of shelter is in the best interest of survival.

8-2. Upon exiting the pod, an Inflatable Dome will be provided, however, this type of shelter has a short time decay and only offers temporary sanctuary from the harsh environment. Creating a much sturdier shelter should be at the top of the priority list. ","8-1。いくつかの形の避難所を作り出すことは生存の最良の関心事です。

8-2。ポッドを出ると、膨脹可能なドームが提供されますが、このタイプの避難所は短時間の崩壊を持っており、過酷な環境から一時的な聖域のみを提供しています。たくさんの頑丈な避難所を作成することは、優先順位リストの上にあるべきです。";
"*When Inflatable Dome is not available, create shelter from found materials.","*インフレータブルドームが利用できない場合は、見つかった素材から避難所を作成してください。";
"8-3. Habitats are based on a modular system of building. Once a habitat is created, adding an airlock will allow for pressurization of the structure. Custom walls make habitats more expansive and personalized. Interconnecting habitats is possible with the incorporation of hallways. Building multilevel structures is also possible, but will require the addition of an elevator.
","8-3。生息地は建物のモジュール式システムに基づいています。生息地が作成されると、エアロックを追加すると構造の加圧が可能になります。カスタムウォールは生息地をより広く、パーソナライズさせます。廊下の組み込みで生息地を相互接続することが可能です。マルチレベル構造の構築も可能ですが、エレベーターの追加が必要です。
";
"*Modular HAB system building is the foundation of all Osiris Mission Colony settlements.","*モジュラhabシステム構築は、すべてのオシリスミッションコロニー集落の基礎です。";
"*Airlock is needed for pressurized HABs.","*加圧上隆起にはエアロックが必要です。";
"*Hallways join HABs and other structures.","* HallwaysはHABSやその他の構造物を結合します。";
"*Add mutliple levels by stacking HABs with the Upper Story attachment.","*上層の物語の添付ファイルで積み重ねを積み重ねることで、ムトリプルレベルを追加します。";
"*Barracks can contain special furniture equipment.","*兵舎には特別な家具機器を含めることができます。";
"8-4. Utilities are functional elements that generate air, electricity, and other essentials. Some of these items include: Storage units, Fabricator, Forges, Crafting Tables. In order to craft or build certain utilities, materials must be obtained and required skills must be unlocked. Certain items can also be found in the game by exploring, like batteries, wires, heavy machine gun.Items such as regular bandages and Medkits are able to be crafted using a 3D Printer or Fabricator.

8-5. The ability to craft water in an empty glass jar is possible upon the accumulation of Oxygen & Hydrogen. A Water Reclaimer unit built inside a Habitat will also allow for quenching thirst every few minutes.","8-4。ユーティリティは、空気、電気、およびその他の必需品を生成する機能要素です。これらの項目のいくつかは次のとおりです。記憶装置、製造装置、偽造品、作成テーブル。特定のユーティリティを作成または構築するためには、材料を取得し、必要なスキルをロック解除する必要があります。特定の項目は、電池、ワイヤー、重機銃のようなものを探索することによって、3Dプリンターまたは製造業者を使用して作成することができます。

8-5。空のガラス瓶に水を作る能力は、酸素と水素の蓄積時に可能である。生息地の中に建てられた水再生ユニットも数分ごとの渇きを急冷することができます。」";
",MISSING_TRANSLATION;","、Missing_translation; ";
"*Storage containers are essential to keeping large amounts of materials safe.","*貯蔵容器は大量の材料を安全に保つために不可欠です。";
"*Crafting Utilities such as the 3D Printer can create small useful items.","* 3Dプリンタなどの作成ユーティリティは、小さな有用な項目を作成できます。";
"*Smelting equipment is necessary for melting down minerals for structure building and item crafting.","※構造体の建物や商品の作成のために鉱物を融解させるためには、製錬機器が必要です。";
"8-6. Structures are the constituent elements of the colony. Built on essentially a grid, the different components can be snapped together to create large colony complexes for growing food, research, and mutual survival. The current maximum for structures on a single planet is 200, or 20 per player. Aside from Habitats and Huts, there are a many other structures that can be built such as a Biodome, Laboratory, Furniture, Custom Wall Pieces and Utilities.
","8-6。構造はコロニーの構成要素です。本質的にグリッド上に構築された、異なる成分を一緒に巻きつけることができ、食物、研究、そして相互の生存のための大きなコロニー複合体を作成することができる。単一の惑星上の構造の最大値は200、プレーヤーあたり20、または20です。生息地や小屋とは別に、生物学、実験室、家具、カスタムの壁の駒やユーティリティなど、建てられてもらうことができる他の多くの構造があります。
";
"*Biodome are perfect for cultivating food reserves.","*生物学的埋蔵量の栽培に最適です。";
"*Specialty furniture equipment in the HAB can be extremely useful.","* HABの特殊な家具装置は非常に便利です。";
"*Solar panels must be used to power structures and utilities.","*ソーラーパネルは構造やユーティリティに電力を供給するために使用されなければなりません。";
"*Create unique structures with custom prefabs.","*カスタムプレハブを使用して固有の構造を作成します。";
"*Laboratory is a factory system that can build vehicles and robots.","*実験室は車両やロボットを作ることができる工場システムです。";
"8-7. To keep structures, vehicles and other important elements in proper working order, performing regular maintenance is necessary. Maintenance can be performed with the Multi-Tool. This is an indestructible tool used for repairing damaged structures, walls vehicles and droids.
","8-7。構造、車両、その他の重要な要素を適切な作業秩序に保つためには、定期的なメンテナンスを実行する必要があります。メンテナンスはマルチツールで実行できます。これは、損傷した構造、壁の車両、およびドロイドの修復に使用される不死のツールです。
";
"*OMPA can be programmed to auto repair your colony structures.","* ompaはあなたのコロニー構造を自動修理するようにプログラムすることができます。";
"*Repair your structures and equipment with the Multi-Tool.","*マルチツールで構造や機器を修理してください。";
"Driver Training","ドライバートレーニング";
"Planning for Space","宇宙の計画";
"Space Travel","宇宙旅行";
"Space Walking","スペースウォーキング";
"9-1. Vehicles allow for rapid transportation across large distances, moving resources and more. There are two different types of vehicles<semicolon> hovering and wheeled. The durability, speed and maneuverability varies depending on the type of vehicle. They can be built using the Laboratory. Each type of vehicle will require different resources in order to craft.

9-2. Default Vehicle Controls:
Enter the vehicle - F key.
Directional Maneuvers - WASD keys.
Exit the vehicle -  F key.

9-3. Please Note:
- In certain vehicles, hold the shift key will activate a boost that uses a large amount of fuel to gain additional speed.

- When in third person view, it is possible to look left or right while driving.

- The Ground Assault Vehicle has the capacity for an an additional passenger who may control the turret.
","9-1。車両は、大きな距離、移動資源などを越えて急速な輸送を可能にします。 <セミコロン>ホバリングとホイールドの2つの異なるタイプの車両があります。耐久性、速度および操縦性は車両の種類によって異なります。それらは実験室を使って建設することができます。各タイプの車両は、作るために異なるリソースを必要とします。

9-2。デフォルトの車両の制御
車両Fキーを入力してください。
方向性能操作 -  WASDキー。
車両Fキーを出ます。

9-3。ご注意ください：
 - 特定の車両では、Shiftキーを押しながら大量の燃料を使用して追加の速度を得るためのブーストを起動します。

 -  3枚目の視聴中に、運転中に左右に見えることが可能です。

 - 地上アサルト車両は、タレットを制御する可能性がある追加の乗客の能力を持っています。
";
"9-3. Before journeying out, prepare accordingly. Be sure that the vehicle used for operation is adequately fueled and in good working order. Check water and food supply to make certain that there is enough to sustain for the journey ahead. Bring any necessary resources and supplies that may be needed while away from the base.
","9-3。旅行する前に、それに応じて準備してください。操作に使用される車両が適切に燃料を供給していることを確認してください。水と食糧供給を確認して、先の旅のために維持するのに十分なことを確実にすることを確認してください。基地から離れている間必要とされる可能性がある必要なリソースと電源を入れる。
";
"9-4. Spaceships have a translational life that require a large amount of fuel when leaving the atmosphere. Prepare accordingly. Once in orbit, lack of gravity and friction allow for less fuel consumption. The following controls are used for operation of the Spaceship:

9-5. Default surface controls while flying:
Start the ship and accelerate - LMB
Land and deccelerate - RMB
Directional maneuvers - WASD keys from wherever the mouse is currently pointed.
","9-4。宇宙船は、大気を出るときに大量の燃料を必要とする翻訳寿命を持っています。それに応じて準備します。軌道に入ったら、重力と摩擦の欠如は燃料消費量の少ないことを可能にします。以下のコントロールは宇宙船の運用に使用されます。

9-5。フライング中のデフォルトのサーフェスコントロール：
船を始めて加速する -  1mb
土地と急流 - 乗組員
方向性能操作 - マウスが現在指摘されている場所からのWASDキー。
";
"9-7. The E.V.A. Suit has been designed to allow for prolonged Space Walks. Personnel may find themselves in a predicament where they need to leave their space station or ship and begin space walking. The default controls for space walking are as follows: 

Move Forward - W Key
Move Backward - S Key
Strafe Left - A Key
Strafe Right - D Key
Move Upward - Spacebar Key
Move Downward - Left Control Key
Orient to Camera - Right Mouse Button
Boost - Left Shift Key
","9-7。 e.v.a.スーツは長期間の宇宙の散歩を可能にするように設計されています。職員は自分たちの宇宙ステーションや船を残してスペースウォーキングを始める必要がある賞を受賞しているかもしれません。スペースウォーキングのデフォルトコントロールは次のとおりです。

前方へ移動 -  Wキー
後方を移動します
Strafe Left  - キー
STRAFE right-Dキー
上に移動 - スペースバーキー
下向き - 左制御キーを移動します
カメラへのオリエント - マウスの右ボタン
ブースト - 左シフトキー
";
"9-8. Vehicles will require reparations and regular maintenance. The Multi Tool can be used to repair vehicles. Be sure to refuel each vehicle on a consistent basis. Refueling is performed by using the container that holds fuel. When prompted, press the [F] key.
","9-8。車両は賠償と定期的なメンテナンスを必要とします。マルチツールを使用して車両を修理することができます。各車両を一貫した給油してください。燃料補給は、燃料を保持する容器を使用することによって行われる。プロンプトが表示されたら、[F]キーを押してください。
";
"9. Vehicle Piloting and Aeronotics","車両の操縦と航空ティックス";
"Steering Behaviors","ステアリングビヘイビアー";
"Mining","鉱山";
"Repairing","修理";
