"source","target"
"1-4. Equipment has a deterioration factor that varies according to its type and purpose. Time decay and usage plays a part in deterioration, as well as terrain elements. As skill points are acquired, equipment can become more substantial, increasing the life expectancy of each item. However, none of the equipment has an infinite life span. Maintaining proper repair and upkeep of equipment will aid in progress and likelihood of survival.
","1-4. El equipo tiene un factor de deterioro que varía según su tipo y propósito. La decadencia y el uso del tiempo juegan una parte en el deterioro, así como los elementos del terreno. Como se adquiren los puntos de habilidad, el equipo puede volverse más sustancial, aumentando la esperanza de vida de cada artículo. Sin embargo, ninguno de los equipos tiene una vida infinita. Mantener la reparación adecuada y el mantenimiento de equipos ayudará en el progreso y la probabilidad de supervivencia.
;"
"1-5. Terrain on extra solar planets can be tretcherous and must be traversed with care. Any misstep can lead to damaging your EVA suit and lead to a suit breach, which can be catastrophic. It's imparitive to explore with extreme caution.

1-6. Slope. When attempting to climb a slope be sure to look at your slope warning indicator. For slopes that are greater than 30 degrees, either at an incline or decline, poses a hazard for your traversal. Attempting to jump or run on this uneven terrain is not advised.

Crouching can be used to traverse extreme slopes if needed.","1-5. El terreno en planetas solares extra puede ser corregido y debe ser atravesado con cuidado. Cualquier error puede llevar a dañar su traje EVA y conducir a una brecha de traje, que puede ser catastrófica. Es impiritivo explorar con extrema precaución.

1-6. Pendiente. Al intentar escalar una pendiente, asegúrese de mirar su indicador de advertencia de pendiente. Para pendientes que se encuentren mayores de 30 grados, ya sea en una inclinación o declive, plantea un peligro para su recorrido. No se recomienda intentar saltar o correr en este terreno desigual.

Se puede usar agujas para atravesar las pendientes extremas si es necesario.;"
"1-7. Each planet and moon has a unique atmopsheric makeup and will tramatically alter your exploration capabilities.

1-8. Atmopsheric Temperature. The temperature of a world's air and surface is a direct result of its atmopheric density and proximity to its star. Thicker atmopsheres will contain more greenhouse gas effects and create a more stable temperature range (although that temperature may still be extremely cold or hot). Thinner atmopsheres will show a higher range in temperature if the world is not tidally locked to the star, or if so, will ldepend on your geographic location on the world.

1-9. Weather Patterns. There is no telling what you may discover in terms of weather. Your EVA suit was designed to handle known weather situations, but may be suseptible to damage in an extreme situation.

If caught in a Dust Storm, be sure to pay attention to the direction the storm is coming from. Seek shelter however you can to avoid debris from the storm. Crouching can limit the chances of imact by up to 60%.","1-7. Cada planeta y luna tiene un maquillaje ambulante único y alterará de manera tramitá sus capacidades de exploración.

1-8. Temperatura cérmica. La temperatura de un aire y la superficie del mundo es un resultado directo de su densidad atmericada y su proximidad a su estrella. Los atmostopstros más gruesos contendrán más efectos de gases de efecto invernadero y crearán un rango de temperatura más estable (aunque esa temperatura aún puede ser extremadamente fría o caliente). Los atmostopsinos más delgados mostrarán un rango más alto de temperatura si el mundo no está cerrado con carne en la estrella, o si es así, le responderá a su ubicación geográfica en el mundo.

1-9. Patrones meteorológicos. No hay que decir lo que puede descubrir en términos de clima. Su traje EVA fue diseñado para manejar situaciones climáticas conocidas, pero puede ser susptituido a dañar en una situación extrema.

Si se detiene en una tormenta de polvo, asegúrese de prestar atención a la dirección que viene la tormenta. Busque refugio, sin embargo, puede evitar los escombros de la tormenta. La agitación puede limitar las posibilidades de imacción hasta en un 60%.;"
"1. Physical Environment","1. entorno físico;"
"Suit Repair","Reparación de traje;"
"Suit Maintenance","Mantenimiento de trajes;"
"2-1. The EVA Suit designed for the Osiris Mission is equipped with state-of-the-art sensors. These sensors in turn, provided detailed and up-to-the minute status reports on the viability and integrity of the EVA suit. Monitoring these readings in the HUD are integral to survivability. The sensors monitor: oxygen levels, temperature, hydration/nutrition levels, and health and suit health. 

2-2. Oxygen Levels: Monitoring oxygen consumption is integral. Without oxygen, there is no breathing. Be mindful that running and other taxing activity consume more oxygen. Oxygen will replenish based on traces of O2 in the atmosphere.

2-3. Temperature: Maintaining a viable suit temperature is of the utmost importance. Some climes within the Gliese 581 system will harbor environments that are blistering cold, piercingly hot, and variables in between. If the suit becomes too cold, look for ways to increase the temperature, as hypothermia may ensue. If the suit becomes too hot, look for ways to decrease the temperature, as it may result in death.

2-4. Hydration/Nutrition: Hydration is the outer ring while Nutrition is the inner ring.  Hunger and thirst, if not remedied, can cause a decline in health and performance. Your actions such as running and jumping will impact your thirst and hunger.

2-6. Health/Suit Integrity: Health is the outer ring while Suit Integrity is the inner ring. In instances or severe injuries or suit breaches, Oxygen levels will drop. To fix suit breaches or severe injuries, equip and use bandages, either found or crafted. ","2-1. El traje EVA diseñado para la Misión de Osiris está equipado con sensores de última generación. Estos sensores a su vez, proporcionaron informes detallados y actualizados de los minutos sobre la viabilidad e integridad del traje EVA. El seguimiento de estas lecturas en el HUD es integral para la supervivencia. Los sensores monitorean: los niveles de oxígeno, la temperatura, los niveles de hidratación / nutrición, y la salud y la salud.

2-2. Niveles de oxígeno: el monitoreo del consumo de oxígeno es integral. Sin oxígeno, no hay respiración. Tenga en cuenta que correr y otras actividades graves consuman más oxígeno. El oxígeno se repondrá según las huellas de O2 en la atmósfera.

2-3. Temperatura: Mantener una temperatura traje viable es de la mayor importancia. Algunos climas dentro del sistema Gliese 581 albergarán ambientes que son fríos, perforadamente calientes y variables en el medio. Si el traje se hace demasiado frío, busque formas de aumentar la temperatura, ya que la hipotermia puede surgir. Si el traje se calienta demasiado, busque formas de disminuir la temperatura, ya que puede resultar en la muerte.

2-4. Hidratación / nutrición: la hidratación es el anillo exterior, mientras que la nutrición es el anillo interior. El hambre y la sed, si no se remedia, puede causar una disminución de la salud y el desempeño. Sus acciones, como correr y saltar, afectarán su sed y hambre.

2-6. Salud / Traje Integridad: La salud es el anillo exterior, mientras que la integridad del suministro es el anillo interior. En los casos o las lesiones severas o las violaciones de traje, los niveles de oxígeno bajarán. Para reparar los incumplimientos de la demanda o las lesiones severas, equipar y usar vendas, ya sea que se encuentran o se crean.;"
"2-7. If the EVA suit becomes damaged or breached during exploration of the Gliese 581 system, make sure to equip and use patch tape to address the breach. Then equip and use bandages to re-stabilize suit integrity. Failure to do so may result in suffocation or possibly death.
","2-7. Si el traje EVA se daña o se rompe durante la exploración del sistema Gliese 581, asegúrese de equipar y usar cinta de parche para abordar la brecha. Luego, equipe y use vendajes para volver a estabilizar la integridad de la demanda. El no hacerlo puede resultar en la asfixia o posiblemente la muerte.
;"
"*Use patch tape to repair your EVA suit.","* Use cinta de parche para reparar su traje EVA.;"
"2-8. To ensure optimal EVA performance is achieved, suit maintenance is required when necessary. Patch tape and bandages are required deal with suit breaches. Failure to maintain the suit may result in suffocation or possibly death.

Be sure to mind the environment. Beware of sharp objects as these can pierce your suit and cause a suit breach. Take caution in climbing steep slopes, crouching carefully where possible.","2-8. Para garantizar que se logre un rendimiento óptimo de EVA, se requiere el mantenimiento cuando sea necesario. Se requieren cinta y vendajes de parches, trato con brechas adecuadas. El incumplimiento de la demanda puede resultar en asfixia o posiblemente la muerte.

Asegúrate de importar el medio ambiente. Tenga cuidado con los objetos afilados, ya que estos pueden perforar su traje y causar una brecha de traje. Tenga cuidado en escalar las pendientes empinadas, agachándose cuidadosamente donde sea posible.;"
"*Use patch tape and bandages for EVA suit repair and maintenance.","* Use cinta de parche y vendas para la reparación y mantenimiento del traje EVA.;"
"*Keep your eye on o2 readings. Be sure to allow your o2 scrubber to replenish while in atmospheres with gases that contain oxygen. NOTE - o2 does not replenish while in space or in very thin atmospheres.","* Mantenga su ojo en las lecturas de O2. Asegúrese de permitir que su scrubber O2 se reponga mientras esté en atmósferas con gases que contienen oxígeno. Nota: O2 no se repone en espacio o en atmósferas muy delgadas.;"
"*Zero oxygen will cause suffocation. It is advisable to cease moving until your o2 scrubber can begin to replenish o2 in your EVA suit.","* El oxígeno cero causará la asfixia. Es recomendable dejar de moverse hasta que su scrubber O2 pueda comenzar a reponer O2 en su traje EVA.;"
"2. Osiris Mission EVA Suit","2. Juego de Osiris Mission EVA;"
"Physical Conditioning","Condición física;"
"Hydration","Hidratación;"
"Food Preparation","Preparación de comida;"
"3-1. Quality of life is largely dependent on nutrition, hydration and general health. Over time, physical condition can deteriorate, affecting speed and survival. Hunger and thirst, if not remedied, can cause a decline in health and performance. Climate conditions such as heat and cold also have an effect. It is imperative to monitor these using the suit readings provided.

3-2. When physical condition decreases and health is impaired, healing is possible using certain types of food and bandages. Healing is crucial in order to sustain life.
","3-1. La calidad de vida depende en gran medida de la nutrición, la hidratación y la salud general. Con el tiempo, la condición física puede deteriorarse, afectando la velocidad y la supervivencia. El hambre y la sed, si no se remedia, puede causar una disminución de la salud y el desempeño. Las condiciones climáticas, como el calor y el frío, también tienen un efecto. Es imperativo monitorear estos usando las lecturas de traje proporcionadas.

3-2. Cuando la condición física disminuye y la salud está deteriorada, la curación es posible utilizando ciertos tipos de alimentos y vendajes. La curación es crucial para sostener la vida.
;"
"3-3. Loss of body water, or dehydration, plays a major role in health and survival. Depending upon level of exertion, hydration needs will fluctuate. Be sure to check hydration levels and consume water whenever the suit reading (located in the lower left-hand corner) indicates the need to do so.
","3-3. La pérdida de agua corporal, o deshidratación, desempeña un papel importante en la salud y la supervivencia. Dependiendo del nivel de esfuerzo, las necesidades de hidratación fluctuarán. Asegúrese de verificar los niveles de hidratación y consumir agua siempre que la lectura del traje (ubicada en la esquina inferior izquierda) indique la necesidad de hacerlo.
;"
"3-4. Poor nutrition contributes to deterioration in quality of life and chance of survival. Caloric intake is necessary, as well as attention to the types and sources of calories. Almost anything is edible, but not every type of food will heal. Some sources of nutrition will only satisfy the need for calories. Remember to monitor hunger in the suit readings (located in the lower left-hand corner) and replenish calories as needed.
","3-4. La mala nutrición contribuye al deterioro de la calidad de vida y la posibilidad de supervivencia. La ingesta calórica es necesaria, así como la atención a los tipos y fuentes de calorías. Casi cualquier cosa es comestible, pero no todos los tipos de alimentos sanarán. Algunas fuentes de nutrición solo satisfarán la necesidad de calorías. Recuerde monitorear el hambre en las lecturas del traje (ubicadas en la esquina inferior izquierda) y reponer las calorías según sea necesario.
;"
"Hypothermia","Hipotermia;"
"Dehydration","Deshidración;"
"Minor Injuries","Lesiones leves;"
"Severe Injuries","Heridas graves;"
"4-1. Cold injuries, both freezing and non-freezing, are a serious threat. Hypothermia is a potentially dangerous drop in body temperature, usually caused by prolonged exposure to cold temperatures. Keeping aware of the outside temperature and suit temperature is vital.  Cold weather injury prevention and timely shelter construction are also critical and may help avoid debilitating injuries. When temperatures drop, be sure to employ methods of creating internal warmth.","4-1. Las lesiones frías, tanto la congelación como la no congelación, son una amenaza seria. La hipotermia es una caída potencialmente peligrosa en la temperatura corporal, generalmente causada por la exposición prolongada a temperaturas frías. Mantenerse al tanto de la temperatura exterior y la temperatura del traje es vital. La prevención de lesiones en clima frío y la construcción oportuna de refugio también son críticos y pueden ayudar a evitar lesiones debilitantes. Cuando las temperaturas caen, asegúrese de emplear métodos de creación de calor interno.;"
"4-2. Dehydration happens when your body doesn't have as much water as it needs. Without enough, your body can't function properly. You can have mild, moderate, or severe dehydration depending on how much fluid is missing from your body. Avoid becoming dehydrated by checking the suit reading on hydration level (located in the lower left-hand corner.) Replenish and consume fluids on a regular basis. When temperatures rise due to weather conditions, decreasing internal suit temperature may become necessary to avoid dehydration and even fatality.

Food can be a source of hydration if a Chem Station to create water is not available.","4-2. La deshidratación ocurre cuando su cuerpo no tiene tanto agua como necesite. Sin suficiente, su cuerpo no puede funcionar correctamente. Puede tener una deshidratación leve, moderada o grave, dependiendo de la cantidad de líquido que falta en su cuerpo. Evite deshidratarse marcando la lectura de la demanda en el nivel de hidratación (ubicado en la esquina inferior izquierda). Replida y consume líquidos de forma regular. Cuando las temperaturas aumentan debido a las condiciones climáticas, la disminución de la temperatura de la demanda interna puede ser necesaria para evitar la deshidratación e incluso la fatalidad.

La comida puede ser una fuente de hidratación si una estación de química para crear agua no está disponible.;"
"4-3. It is very likely that minor injuries will occur when in combat against indigenous creatures, during missions, or even performing regular tasks. Suit breaches are the most common type of minor injury. If a suit breach occurs, use patch type to repair as soon as is possible.
","4-3. Es muy probable que se produzcan lesiones menores cuando se encuentren en combate contra las criaturas indígenas, durante las misiones, o incluso realizando tareas regulares. Los infracciones de traje son el tipo más común de lesiones menores. Si se produce una brecha de traje, use el tipo de parche para reparar tan pronto como sea posible.
;"
"*Bandages can heal minor wounds.","* Los vendajes pueden curar heridas menores.;"
"*If on a planet with foliage species, attempt to create crude bandages when out of manuafactured bandage reserves.","* Si está en un planeta con especies de follaje, intente crear vendas en bruto cuando se encuentran fuera de las reservas de vendaje manual.;"
"4-4. In the event a severe injury occurs, immediately find or craft bandages and use them to heal. If this is not done in an expedient manner, health will rapidly deteriorate and death may follow shortly thereafter.
","4-4. En el caso de que se produzca una lesión severa, busque o inmediatamente encuentre vendajes y utilícelos para curarse. Si esto no se hace de manera conveniente, la salud se deteriorará rápidamente y la muerte puede seguir poco después.
;"
"*Where possible, create large amounts of crude bandages while reserving Medkits for only dire situations.","* Cuando sea posible, cree grandes cantidades de vendajes crudos mientras se reserva medkits solo para situaciones terribles.;"
"*Medkits can save your life when experiencing severe wounds.","* Medkits puede salvar su vida al experimentar heridas severas.;"
"Navigation","Navegación;"
"5-1. Navigating through the Gliese 581 System can be both enthralling and frightening. But basic navigation shouldn’t be confusing.

5-2. The Locator provided for the Osiris Mission is an extremely helpful navigational tool. Equipping the locator will reveal the terrain’s topography, names of discovered areas, locations of resources (as indicated by icons), as well as longitude and latitude. Metallic objects will appear on your Locator, as well as your structures.

5-3. Longitude: Longitude is the designated coordinate that identifies the east-west position of a point on the planets terrain. 

5-4. Latitude: Latitude is the designated coordinate that identifies the north-south position of a point on the planets terrain.

5-5. Compass: Your compass is shown in the Top Middle of your display and indicates your direction along with any primary structures you own.
","5-1. Navegar a través del sistema Gliese 581 puede ser cautivado y aterrador. Pero la navegación básica no debe ser confusa.

5-2. El localizador proporcionado para la Misión Osiris es una herramienta de navegación extremadamente útil. Equipar el localizador revelará la topografía del terreno, los nombres de las áreas descubiertas, las ubicaciones de los recursos (según lo indicado por los iconos), así como la longitud y la latitud. Los objetos metálicos aparecerán en su localizador, así como sus estructuras.

5-3. Longitud: la longitud es la coordenada designada que identifica la posición este-oeste de un punto en el terreno de los planetas.

5-4. Latitud: Latitud es la coordenada designada que identifica la posición norte-sur de un punto en el terreno de los planetas.

5-5. Brújula: su brújula se muestra en la mitad superior de su pantalla e indica su dirección junto con cualquier estructura primaria que posee.
;"
"*Locator will give you positional coordinates on your current planet and can help find natural resources.","* El localizador le dará coordenadas posicionales en su planeta actual y puede ayudar a encontrar recursos naturales.;"
"DATA NOT AVAILABLE
","INFORMACION NO DISPONIBLE
;"
"Tools","Herramientas;"
"Artillery","Artillería;"
"Combat Tactics","Tácticas de combate;"
"6-1. When exploring and crafting, different tools will be useful in accomplishing various tasks. Tools do not have infinite usage and will wear down over time. It is imperative to repair tools when necessary and/or craft new ones as needed. The rate of decay varies from tool to tool. Some tools will require recipes and specific resources, obtainable only by mining or harvesting them, in order to be crafted. Most tools are only useful for mining, though there are a couple that may be used in combat. These are referred to as hybrid tools.

6-2. Keep in mind that not all tools are able to be obtained right from the start. Some tools will only become available as progress is made and skill points are acquired.","6-1. Al explorar y crear, las diferentes herramientas serán útiles para lograr diversas tareas. Las herramientas no tienen un uso infinito y se desgastarán con el tiempo. Es imperativo reparar herramientas cuando sea necesario y / o artesanal nuevas según sea necesario. La tasa de descomposición varía de la herramienta a la herramienta. Algunas herramientas requerirán recetas y recursos específicos, que se pueden obtener solo mediante la minería o la coseche, para ser diseñados. La mayoría de las herramientas solo son útiles para la minería, aunque hay una pareja que puede usarse en combate. Estos se conocen como herramientas híbridas.

6-2. Tenga en cuenta que no todas las herramientas pueden obtenerse desde el principio. Algunas herramientas solo estarán disponibles a medida que se realiza avances y se adquieren puntos de habilidad.;"
"*Chisel can be used to break down minerals.","* El cincel se puede usar para descomponer los minerales.;"
"*Shovel can gather loose materials like sand.","* La pala puede recoger materiales sueltos como la arena.;"
"6-3. Artillery can be used to protect against indigenous creatures and human threats.  There are several different types of weapons available for use, not all of them available immediately. Which weapons are initially given depends on chosen class: Marine, Scientist, Ranger, or Engineer. There are two main categories of artillery, Melee and Ranged. Each weapon sustains and gives different levels of damage, depending on ammo and weapon type.","6-3. La artillería se puede utilizar para proteger contra criaturas indígenas y amenazas humanas. Hay varios tipos diferentes de armas disponibles para su uso, no todos disponibles de inmediato. Las armas que se administran inicialmente depende de la clase elegida: marina, científico, guardabosques o ingeniero. Hay dos categorías principales de artillería, cuerpo a cuerpo y iban. Cada arma sostiene y da diferentes niveles de daño, dependiendo del tipo de munición y arma.;"
"*For ranged weapons be mindful of ammunition reserves.","* Para las armas a distancia, tenga en cuenta las reservas de municiones.;"
"*Melee weapons take a lot of punishment and frequently need to be repaired.","* Las armas cuerpo a cuerpo toman mucho castigo y con frecuencia deben ser reparadas.;"
"6-4. Strategy is a key component to surviving Gliese 581 and all that it encompasses. Remaining vigilant at all times and keeping an eye on the horizon is of dire importance. Threats to safety come not only in the form of environmental events, but also indigenous creatures and even other humans. Be prepared. Keep weapons at the ready and fully stocked with ammunition. In some cases, the best tactic is actually fleeing as quickly as possible. Tactics will change on a case by case basis and require critical thinking as well as quick reflexes.","6-4. La estrategia es un componente clave para sobrevivir a Gliese 581 y todo lo que abarca. El vigilante permanecer en todo momento y vigilar el horizonte es de gran importancia. Las amenazas a la seguridad vienen no solo en forma de eventos ambientales, sino también a las criaturas indígenas e incluso otros humanos. Estar preparado. Mantenga las armas al aire libre y completamente surtido con municiones. En algunos casos, la mejor táctica está huyendo lo más rápido posible. Las tácticas cambiarán caso por caso y requerirán el pensamiento crítico, así como los reflejos rápidos.;"
"Comms Feed","Comillas de alimentación;"
"Locating Personnel","Personal de localización;"
"Colony Development","Desarrollo de colonias;"
"7-1. Proper and meaningful communication is extremely valuable and an important tool when exploring the Gliese 581 System. That’s where the Communication Feed is a helpful tool. To access the Communication Feed, press ENTER and then one of the chat commands as needed. 

Chat Commands are as follows:
[TAB] Cycle Available Channels
[/g] Global Channel
[/l] Local Channel
[/c] Colony Channel
[/p] Party Channel
[/w] Whisper Channel
[/r] Reply to previous Whisper
[/ix] Ignore Channel x
[/ux] Unignore Channel x
[/ping] Toggle Audio Ping
[/ompa help] O.M.P.A. Commands
","7-1. La comunicación adecuada y significativa es extremadamente valiosa y una herramienta importante al explorar el sistema Gliese 581. Ahí es donde la alimentación de la comunicación es una herramienta útil. Para acceder a la alimentación de comunicación, presione ENTER y luego uno de los comandos de chat según sea necesario.

Los comandos de chat son los siguientes:
[Pestaña] Canales disponibles para el ciclo
[/ g] canal global
[/ l] canal local
[/ c] canal de colonia
[/ P] Channel de fiesta
[/ w] Whisper Channel
[/ r] Responder al susurro anterior
[/ ix] ignorar el canal x
[/ UX] Unignore Channel X
[/ Ping] Toggle Audio Ping
[/ Ayuda OMPA] O.M.P.A. Comandos
;"
"DATA NOT AVAILABLE 
","INFORMACION NO DISPONIBLE
;"
"7-2. Locating other personnel within the Gliese 581 System can greatly increase the chance of survival. That’s why it’s key to constantly be on the look out for others roaming the foreign terrain. 

7-3. One way to locate Personnel is through the Communication Feed located in the upper left-hand corner of your HUD. To access this helpful tool, press ENTER and then locate the appropriate channel you wish to chat in. Once communication with other personnel has been achieved, share the current coordinates and wait until they arrive at the location. 

7-4. Another way to locate personnel is through the use of the Flare Gun. For those times when communication is down or not working, simply equip the flare gun, point it towards the sky, and fire. This will alert any other personnel within the vicinity. 
","7-2. Localizar a otro personal dentro del sistema Gliese 581 puede aumentar enormemente la posibilidad de supervivencia. Es por eso que es clave para estar constantemente atento a los demás que rodean el terreno extranjero.

7-3. Una forma de localizar al personal es a través de la alimentación de comunicación ubicada en la esquina superior izquierda de su HUD. Para acceder a esta útil herramienta, presione ENTER y luego ubique el canal apropiado en el que desea chatear. Una vez que se haya logrado la comunicación con otro personal, comparta las coordenadas actuales y espere hasta que lleguen a la ubicación.

7-4. Otra forma de localizar al personal es a través del uso de la pistola de la llamarada. Para aquellos momentos en que la comunicación está abajo o no está funcionando, simplemente equipe la pistola de la llamarada, apúntela hacia el cielo y el fuego. Esto alertará a cualquier otro personal dentro de los alrededores.
;"
"*Flares can be used to locate personnel.","* Las llamaradas se pueden usar para localizar personal.;"
"7-5. U.N.E. operatives may find themselves coming into contact with other personnel. In these situations, these personnel can group up by either setting up a party or colony. 

7-6. Setting Up A Party: For the personnel creating a party, they need to walk up to the other operative, look at them, and then press [F] to invite. The personnel joining the party must then look and the inviter and then click [ACCEPT] in the menu.
","7-5. U.n.e. Los operativos pueden encontrarse en contacto con otro personal. En estas situaciones, este personal puede agruparse por establecer una fiesta o colonia.

7-6. Configuración de una fiesta: para el personal que crea una parte, necesitan caminar hasta el otro operativo, mirarlos y luego presionar [F] para invitar. El personal que se une a la parte debe buscar y luego el invitador y luego haga clic en [Aceptar] en el menú.
;"
"7-5. U.N.E. operatives may find themselves coming into contact with other personnel. In these situations, these personnel can group up by either setting up a party or colony. 

7-6. Setting Up A Party: For the personnel creating a party, they need to walk up to the other operative, look at them, and then press [F] to invite. The personnel joining the party must then look and the inviter and then click [ACCEPT] in the menu.

7-7. Setting Up A Colony: A colony is a territory at a specific location on a planet or moon, claimed and controlled by at least one personnel. Personnel can automatically claim a territory when placing a structure on unclaimed ground. This colony can be joined by other personnel when it has been officially created. Creating a colony can be done by following the steps below:

Click on ‘Create Colony.’
Add other personnel by using the multi tool. Please note that personnel have to belong to the same faction in order to join a colony.

Adding other personnel to an existing colony automatically gives them access to anything that is built or crafted after they joined. In order to give them access to previously built/crafted objects, the creator of the colony needs to give access manually using the multi-tool on each object (make public to colony).","7-5. U.n.e. Los operativos pueden encontrarse en contacto con otro personal. En estas situaciones, este personal puede agruparse por establecer una fiesta o colonia.

7-6. Configuración de una fiesta: para el personal que crea una parte, necesitan caminar hasta el otro operativo, mirarlos y luego presionar [F] para invitar. El personal que se une a la parte debe buscar y luego el invitador y luego haga clic en [Aceptar] en el menú.

7-7. Configuración de una colonia: una colonia es un territorio en un lugar específico en un planeta o luna, reclamado y controlado por al menos un personal. El personal puede reclamar automáticamente un territorio al colocar una estructura en terreno no reclamado. Esta colonia se puede unir por otro personal cuando se ha creado oficialmente. La creación de una colonia se puede hacer siguiendo los pasos a continuación:

Haga clic en 'Crear colonia'.
Agregue otro personal utilizando la herramienta Multi. Tenga en cuenta que el personal tiene que pertenecer a la misma facción para unirse a una colonia.

Agregar a otro personal a una colonia existente automáticamente les da acceso a cualquier cosa que esté construida o diseñada después de que se unieron. Para darles acceso a objetos previamente construidos / artesanales, el Creador de la Colonia debe dar acceso manualmente a la multipiro en cada objeto (haga pública a la colonia) ."";"""
"#VALUE!",""
"Access to utilities","Acceso a utilidades;"
",MISSING_TRANSLATION;",", Missing_Translation ;"";"
"7. Commuinications","7. Comuinicaciones;"
"Basic Shelter","Refugio básico;"
"Habitat System","Sistema de hábitat;"
"Maintenance","Mantenimiento;"
"8-1. Creating some form of shelter is in the best interest of survival.

8-2. Upon exiting the pod, an Inflatable Dome will be provided, however, this type of shelter has a short time decay and only offers temporary sanctuary from the harsh environment. Creating a much sturdier shelter should be at the top of the priority list. ","8-1. Crear algún tipo de refugio está en el mejor interés de la supervivencia.

8-2. Al salir de la vaina, se proporcionará una cúpula inflable, sin embargo, este tipo de refugio tiene una decadencia de corto tiempo y solo ofrece un santuario temporal del entorno hostil. Crear un refugio mucho más robusto debe estar en la parte superior de la lista de prioridad.;"
"*When Inflatable Dome is not available, create shelter from found materials.","* Cuando la cúpula inflable no está disponible, cree refugio de los materiales encontrados.;"
"8-3. Habitats are based on a modular system of building. Once a habitat is created, adding an airlock will allow for pressurization of the structure. Custom walls make habitats more expansive and personalized. Interconnecting habitats is possible with the incorporation of hallways. Building multilevel structures is also possible, but will require the addition of an elevator.
","8-3. Los hábitats se basan en un sistema modular de edificio. Una vez que se crea un hábitat, agregar un bloqueo de aire permitirá la presurización de la estructura. Las paredes personalizadas hacen hábitats más expansivos y personalizados. Los hábitats de interconexión son posibles con la incorporación de pasillos. La construcción de estructuras multinivel también es posible, pero requerirá la adición de un ascensor.
;"
"*Modular HAB system building is the foundation of all Osiris Mission Colony settlements.","* La construcción modular del sistema HAB es la base de todos los asentamientos de la colonia de la misión de Osiris.;"
"*Airlock is needed for pressurized HABs.","* Se necesita AIPLOUSE para las habas presurizadas.;"
"*Hallways join HABs and other structures.","* Los pasillos se unen a Habs y otras estructuras.;"
"*Add mutliple levels by stacking HABs with the Upper Story attachment.","* Agregue los niveles de mutliple apilando habs con el archivo adjunto superior.;"
"*Barracks can contain special furniture equipment.","* Los cuarteles pueden contener equipos de muebles especiales.;"
"8-4. Utilities are functional elements that generate air, electricity, and other essentials. Some of these items include: Storage units, Fabricator, Forges, Crafting Tables. In order to craft or build certain utilities, materials must be obtained and required skills must be unlocked. Certain items can also be found in the game by exploring, like batteries, wires, heavy machine gun.Items such as regular bandages and Medkits are able to be crafted using a 3D Printer or Fabricator.

8-5. The ability to craft water in an empty glass jar is possible upon the accumulation of Oxygen & Hydrogen. A Water Reclaimer unit built inside a Habitat will also allow for quenching thirst every few minutes.","8-4. Los servicios públicos son elementos funcionales que generan aire, electricidad y otros elementos esenciales. Algunos de estos artículos incluyen: unidades de almacenamiento, fabricante, forjas, tablas de elaboración. Para organizar o construir ciertas utilidades, se deben obtener materiales y las habilidades requeridas deben desbloquearse. Ciertos artículos también se pueden encontrar en el juego explorando, como baterías, cables, ametralladoras pesadas, tales como vendas regulares y medkits, se pueden elaborar utilizando una impresora o fabricante 3D.

8-5. La capacidad de elaborar el agua en un frasco de vidrio vacío es posible sobre la acumulación de oxígeno e hidrógeno. Una unidad de recuperación de agua construida dentro de un hábitat también permitirá apagar la sed cada pocos minutos ."";"
",MISSING_TRANSLATION;",", Missing_Translation ;"";"
"*Storage containers are essential to keeping large amounts of materials safe.","* Los contenedores de almacenamiento son esenciales para mantener las grandes cantidades de materiales seguros.;"
"*Crafting Utilities such as the 3D Printer can create small useful items.","* Las utilidades de creación, como la impresora 3D, pueden crear pequeños elementos útiles.;"
"*Smelting equipment is necessary for melting down minerals for structure building and item crafting.","* El equipo de fundición es necesario para derretir los minerales para el edificio de la estructura y la elaboración de artículos.;"
"8-6. Structures are the constituent elements of the colony. Built on essentially a grid, the different components can be snapped together to create large colony complexes for growing food, research, and mutual survival. The current maximum for structures on a single planet is 200, or 20 per player. Aside from Habitats and Huts, there are a many other structures that can be built such as a Biodome, Laboratory, Furniture, Custom Wall Pieces and Utilities.
","8-6. Las estructuras son los elementos constituyentes de la colonia. Construido en esencialmente una cuadrícula, los diferentes componentes se pueden juntar para crear grandes complejos de colonias para cultivar alimentos, investigaciones y supervivencia mutua. El máximo actual para estructuras en un solo planeta es de 200, o 20 por jugador. Aparte de los hábitats y las cabañas, hay muchas otras estructuras que se pueden construir, como un biodome, laboratorio, muebles, piezas de pared personalizadas y utilidades.
;"
"*Biodome are perfect for cultivating food reserves.","* Biodome son perfectos para cultivar reservas de alimentos.;"
"*Specialty furniture equipment in the HAB can be extremely useful.","* El equipo de muebles especializados en el HAB puede ser extremadamente útil.;"
"*Solar panels must be used to power structures and utilities.","* Los paneles solares deben usarse para alimentar estructuras y utilidades.;"
"*Create unique structures with custom prefabs.","* Crear estructuras únicas con prefabezas personalizadas.;"
"*Laboratory is a factory system that can build vehicles and robots.","* El laboratorio es un sistema de fábrica que puede construir vehículos y robots.;"
"8-7. To keep structures, vehicles and other important elements in proper working order, performing regular maintenance is necessary. Maintenance can be performed with the Multi-Tool. This is an indestructible tool used for repairing damaged structures, walls vehicles and droids.
","8-7. Para mantener estructuras, los vehículos y otros elementos importantes en el orden de trabajo correcto, realizando un mantenimiento regular es necesario. El mantenimiento se puede realizar con la multi-herramienta. Esta es una herramienta indestructible utilizada para reparar estructuras dañadas, vehículos de paredes y droides.
;"
