"English","italiano";
"1-4. Equipment has a deterioration factor that varies according to its type and purpose. Time decay and usage plays a part in deterioration, as well as terrain elements. As skill points are acquired, equipment can become more substantial, increasing the life expectancy of each item. However, none of the equipment has an infinite life span. Maintaining proper repair and upkeep of equipment will aid in progress and likelihood of survival.
","1-4. L'attrezzatura ha un fattore di deterioramento che varia in base al suo tipo e al suo scopo. Il decadimento e l'utilizzo del tempo svolgono una parte nel deterioramento, così come gli elementi del terreno. Come vengono acquisiti punti abilità, le attrezzature possono diventare più sostanziali, aumentando l'aspettativa di vita di ciascun oggetto. Tuttavia, nessuna delle apparecchiature ha una durata di vita infinita. Il mantenimento della corretta riparazione e manutenzione delle attrezzature aiuterà in corso e probabilità di sopravvivenza.
";
"1-5. Terrain on extra solar planets can be tretcherous and must be traversed with care. Any misstep can lead to damaging your EVA suit and lead to a suit breach, which can be catastrophic. It's imparitive to explore with extreme caution.

1-6. Slope. When attempting to climb a slope be sure to look at your slope warning indicator. For slopes that are greater than 30 degrees, either at an incline or decline, poses a hazard for your traversal. Attempting to jump or run on this uneven terrain is not advised.

Crouching can be used to traverse extreme slopes if needed.","1-5. Terreno su pianeti solari extra può essere traverato e deve essere attraversato con cura. Qualsiasi misstep può portare a danneggiare la tuta EVA e portare a una violazione del vestito, che può essere catastrofica. È imparitivo esplorare con estrema cautela.

1-6. Pendenza. Quando si tenta di scalare una pendenza, assicurarsi di guardare l'indicatore di avviso di inclinazione. Per le piste superiori a 30 gradi, sia a una pendenza o in declino, pone un pericolo per il tuo traversale. Il tentativo di saltare o correre su questo terreno irregolare non è consigliato.

Crouching può essere utilizzato per attraversare piste estreme se necessario.";
"1-7. Each planet and moon has a unique atmopsheric makeup and will tramatically alter your exploration capabilities.

1-8. Atmopsheric Temperature. The temperature of a world's air and surface is a direct result of its atmopheric density and proximity to its star. Thicker atmopsheres will contain more greenhouse gas effects and create a more stable temperature range (although that temperature may still be extremely cold or hot). Thinner atmopsheres will show a higher range in temperature if the world is not tidally locked to the star, or if so, will ldepend on your geographic location on the world.

1-9. Weather Patterns. There is no telling what you may discover in terms of weather. Your EVA suit was designed to handle known weather situations, but may be suseptible to damage in an extreme situation.

If caught in a Dust Storm, be sure to pay attention to the direction the storm is coming from. Seek shelter however you can to avoid debris from the storm. Crouching can limit the chances of imact by up to 60%.","1-7. Ogni pianeta e luna ha un trucco atmosferico unico e modificherà tracciatamente le tue capacità di esplorazione.

1-8. Temperatura atmosferica. La temperatura dell'aria e della superficie del mondo è un risultato diretto della sua densità atmosferica e della sua atmosfera alla sua stella. Gli atmosferici più spessi conterranno più effetti di gas serra e creeranno un intervallo di temperatura più stabile (anche se tale temperatura potrebbe essere ancora estremamente fredda o calda). Gli atmosferici più sottili mostreranno una gamma più elevata di temperatura se il mondo non è bloccato tidamente alla stella, o se è così, ldepend sulla tua posizione geografica sul mondo.

1-9. Modelli meteorologici. Non c'è dire cosa puoi scoprire in termini di tempo. La tua tuta EVA è stata progettata per gestire le situazioni meteorologiche conosciute, ma può essere aumentato di danneggiare in una situazione estrema.

Se catturato in una tempesta di polvere, assicurati di prestare attenzione alla direzione da cui proviene la tempesta. Cerca rifugio, tuttavia, puoi evitare i detriti dalla tempesta. Croughing può limitare le possibilità di IMACT fino al 60%.";
"1. Physical Environment","1. Ambiente fisico";
"Suit Repair","Riparazione del vestito";
"Suit Maintenance","Manutenzione del vestito";
"2-1. The EVA Suit designed for the Osiris Mission is equipped with state-of-the-art sensors. These sensors in turn, provided detailed and up-to-the minute status reports on the viability and integrity of the EVA suit. Monitoring these readings in the HUD are integral to survivability. The sensors monitor: oxygen levels, temperature, hydration/nutrition levels, and health and suit health. 

2-2. Oxygen Levels: Monitoring oxygen consumption is integral. Without oxygen, there is no breathing. Be mindful that running and other taxing activity consume more oxygen. Oxygen will replenish based on traces of O2 in the atmosphere.

2-3. Temperature: Maintaining a viable suit temperature is of the utmost importance. Some climes within the Gliese 581 system will harbor environments that are blistering cold, piercingly hot, and variables in between. If the suit becomes too cold, look for ways to increase the temperature, as hypothermia may ensue. If the suit becomes too hot, look for ways to decrease the temperature, as it may result in death.

2-4. Hydration/Nutrition: Hydration is the outer ring while Nutrition is the inner ring.  Hunger and thirst, if not remedied, can cause a decline in health and performance. Your actions such as running and jumping will impact your thirst and hunger.

2-6. Health/Suit Integrity: Health is the outer ring while Suit Integrity is the inner ring. In instances or severe injuries or suit breaches, Oxygen levels will drop. To fix suit breaches or severe injuries, equip and use bandages, either found or crafted. ","2-1. La tuta EVA progettata per la missione Osiris è dotata di sensori all'avanguardia. Questi sensori a loro volta, hanno fornito report di stato dettagliati e up-al minuto sulla redditività e l'integrità della causa EVA. Monitorare queste letture nell'HUD sono parte integrante per la sopravvivenza. I sensori monitorono: livelli di ossigeno, temperatura, idratazione / livello nutrizione e salute e salute.

2-2. Livelli di ossigeno: il monitoraggio del consumo di ossigeno è integrale. Senza ossigeno, non c'è respirazione. Sii consapevole che la corsa e l'altra attività di tassazione consumino più ossigeno. L'ossigeno si rifornirà in base alle tracce di O2 nell'atmosfera.

2-3. Temperatura: mantenimento di una temperatura del vestito valida è della massima importanza. Alcuni climi all'interno del sistema Gliese 581 porteranno ambienti che sono vesciche fredde, piecicamente caldi e variabili in mezzo. Se la tuta diventa troppo fredda, cerca modi per aumentare la temperatura, poiché l'ipotermia potrebbe succedere. Se il vestito diventa troppo caldo, cerca modi per ridurre la temperatura, poiché potrebbe causare la morte.

2-4. Idratazione / Nutrizione: l'idratazione è l'anello esterno mentre la nutrizione è l'anello interno. La fame e la sete, se non rimediare, possono causare un calo della salute e delle prestazioni. Le tue azioni come la corsa e il salto influenzeranno la tua sete e la tua fame.

2-6. Health / Suit Integrità: la salute è l'anello esterno mentre l'integrità dell'impegno è l'anello interno. In istanze o gravi lesioni o violazioni dei vestiti, i livelli di ossigeno diminuiranno. Per riparare le violazioni dei vestiti o le ferite gravi, equipaggiare e utilizzare bende, si sono trovate o create.";
"2-7. If the EVA suit becomes damaged or breached during exploration of the Gliese 581 system, make sure to equip and use patch tape to address the breach. Then equip and use bandages to re-stabilize suit integrity. Failure to do so may result in suffocation or possibly death.
","2-7. Se la tuta EVA diventa danneggiata o violata durante l'esplorazione del sistema Gliese 581, assicurarsi di equipaggiare e utilizzare la nastro adesivo per affrontare la violazione. Quindi equipaggiare e utilizzare bende per ri-stabilizzare l'integrità dell'importo. Il mancato rispetto può causare soffocamento o possibilmente morte.
";
"*Use patch tape to repair your EVA suit.","* Utilizzare nastro adesivo per riparare il tuo abito EVA.";
"2-8. To ensure optimal EVA performance is achieved, suit maintenance is required when necessary. Patch tape and bandages are required deal with suit breaches. Failure to maintain the suit may result in suffocation or possibly death.

Be sure to mind the environment. Beware of sharp objects as these can pierce your suit and cause a suit breach. Take caution in climbing steep slopes, crouching carefully where possible.","2-8. Per garantire che la prestazione OTTIMAL EVA sia raggiunta, è necessaria la manutenzione dei tubi quando è necessario. Il nastro adesivo e le bende sono necessari affare con le violazioni dei vestiti. La mancata manutenzione del seme può causare soffocamento o possibilmente morte.

Assicurati di pensare all'ambiente. Attenti a oggetti appuntiti in quanto possono perforare il tuo abito e causare una violazione del vestito. Assumere cautela in salita ripidi pendii, accovacciata attentamente laddove possibile.";
"*Use patch tape and bandages for EVA suit repair and maintenance.","* Utilizzare nastro adesivo e bendamenti per la riparazione e la manutenzione del vestito EVA.";
"*Keep your eye on o2 readings. Be sure to allow your o2 scrubber to replenish while in atmospheres with gases that contain oxygen. NOTE - o2 does not replenish while in space or in very thin atmospheres.","* Tieni d'occhio le letture O2. Assicurati di consentire al tuo scrubber O2 di ricostituire mentre sono in atmosfere con gas che contengono ossigeno. Nota - O2 non rifornisce durante lo spazio o in atmosfere molto sottili.";
"*Zero oxygen will cause suffocation. It is advisable to cease moving until your o2 scrubber can begin to replenish o2 in your EVA suit.","* L'ossigeno zero causerà soffocamento. È consigliabile cessare di spostarsi fino a quando il tuo scrubber O2 può iniziare a reintegrare O2 nel tuo abito EVA.";
"2. Osiris Mission EVA Suit","2. Abito da missione Osiris Eva";
"Physical Conditioning","Condizionamento fisico";
"Hydration","Idratazione";
"Food Preparation","Preparazione del cibo";
"3-1. Quality of life is largely dependent on nutrition, hydration and general health. Over time, physical condition can deteriorate, affecting speed and survival. Hunger and thirst, if not remedied, can cause a decline in health and performance. Climate conditions such as heat and cold also have an effect. It is imperative to monitor these using the suit readings provided.

3-2. When physical condition decreases and health is impaired, healing is possible using certain types of food and bandages. Healing is crucial in order to sustain life.
","3-1. La qualità della vita dipende in gran parte da nutrizione, idratazione e salute generale. Nel tempo, le condizioni fisiche possono deteriorarsi, influenzare la velocità e la sopravvivenza. La fame e la sete, se non rimediare, possono causare un calo della salute e delle prestazioni. Anche le condizioni climatiche come il calore e il freddo hanno anche un effetto. È imperativo monitorare questi utilizzando le letture del tuta fornite.

3-2. Quando le condizioni fisiche diminuiscono e la salute è compromessa, la guarigione è possibile utilizzando determinati tipi di cibo e bende. La guarigione è cruciale per sostenere la vita.
";
"3-3. Loss of body water, or dehydration, plays a major role in health and survival. Depending upon level of exertion, hydration needs will fluctuate. Be sure to check hydration levels and consume water whenever the suit reading (located in the lower left-hand corner) indicates the need to do so.
","3-3. Perdita di acqua corporea, o disidratazione, svolge un ruolo importante nella salute e sulla sopravvivenza. A seconda del livello di sforzo, i bisogni di idratazione fluttuano. Assicurati di controllare i livelli di idratazione e consumare acqua ogni volta che la lettura della tuta (situata nell'angolo in basso a sinistra) indica la necessità di farlo.
";
"3-4. Poor nutrition contributes to deterioration in quality of life and chance of survival. Caloric intake is necessary, as well as attention to the types and sources of calories. Almost anything is edible, but not every type of food will heal. Some sources of nutrition will only satisfy the need for calories. Remember to monitor hunger in the suit readings (located in the lower left-hand corner) and replenish calories as needed.
","3-4. La scarsa nutrizione contribuisce al deterioramento della qualità della vita e della possibilità di sopravvivenza. L'assunzione calorica è necessaria, oltre all'attenzione ai tipi e alle fonti di calorie. Quasi tutto è commestibile, ma non ogni tipo di cibo guarirà. Alcune fonti di nutrizione soddisferanno solo la necessità di calorie. Ricordarsi di monitorare la fame nelle letture del seme (situato nell'angolo in basso a sinistra) e ricostituire le calorie se necessario.
";
"Hypothermia","Ipotermia";
"Dehydration","Disidratazione";
"Minor Injuries","Lievi ferite";
"Severe Injuries","Ferite gravi";
"4-1. Cold injuries, both freezing and non-freezing, are a serious threat. Hypothermia is a potentially dangerous drop in body temperature, usually caused by prolonged exposure to cold temperatures. Keeping aware of the outside temperature and suit temperature is vital.  Cold weather injury prevention and timely shelter construction are also critical and may help avoid debilitating injuries. When temperatures drop, be sure to employ methods of creating internal warmth.","4-1. Lesioni fredde, congelamento e non congelamento, sono una grave minaccia. Ipotermia è una caduta potenzialmente pericolosa della temperatura corporea, solitamente causata da un'esposizione prolungata alle temperature fredde. Tenere conto della temperatura esterna e della temperatura della tuta è vitale. La prevenzione della prevenzione del freddo e la costruzione del riparo tempestiva sono anche critiche e possono aiutare a evitare debilitare le ferite. Quando le temperature diminuiscono, assicurarsi di utilizzare metodi per creare calore interno.";
"4-2. Dehydration happens when your body doesn't have as much water as it needs. Without enough, your body can't function properly. You can have mild, moderate, or severe dehydration depending on how much fluid is missing from your body. Avoid becoming dehydrated by checking the suit reading on hydration level (located in the lower left-hand corner.) Replenish and consume fluids on a regular basis. When temperatures rise due to weather conditions, decreasing internal suit temperature may become necessary to avoid dehydration and even fatality.

Food can be a source of hydration if a Chem Station to create water is not available.","4-2. La disidratazione avviene quando il tuo corpo non ha più acqua come ha bisogno. Senza abbastanza, il tuo corpo non può funzionare correttamente. Puoi avere una disidratazione mite, moderata o grave a seconda di quanto fluido manca dal tuo corpo. Evitare di essere disidratato controllando la lettura del vestito sul livello di idratazione (situato nell'angolo in basso a sinistra.) Rifornire e consumare liquidi su base regolare. Quando le temperature aumentano a causa delle condizioni meteorologiche, la diminuzione della temperatura della tuta interna può diventare necessaria per evitare la disidratazione e persino la mortalità.

Il cibo può essere fonte di idratazione se una stazione chemica per creare acqua non è disponibile.";
"4-3. It is very likely that minor injuries will occur when in combat against indigenous creatures, during missions, or even performing regular tasks. Suit breaches are the most common type of minor injury. If a suit breach occurs, use patch type to repair as soon as is possible.
","4-3. È molto probabile che le ferite minore si verifichino quando è in combattimento contro le creature indigene, durante le missioni o addirittura performando compiti regolari. Le violazioni dei vestiti sono il tipo più comune di lesioni minore. Se si verifica una violazione del vestito, utilizzare il tipo di patch per riparare non appena possibile.
";
"*Bandages can heal minor wounds.","* Le bende possono guarire ferite minori.";
"*If on a planet with foliage species, attempt to create crude bandages when out of manuafactured bandage reserves.","* Se su un pianeta con specie di fogliame, tenta di creare bende grezze quando sono fuori dalle riserve di bendaggio manuafatti.";
"4-4. In the event a severe injury occurs, immediately find or craft bandages and use them to heal. If this is not done in an expedient manner, health will rapidly deteriorate and death may follow shortly thereafter.
","4-4. Nel caso in cui si verifichi un infortunio severo, trovare immediatamente o artigiagando le bende e usarle per guarire. Se ciò non è fatto in modo opportuno, la salute si deteriora rapidamente e la morte potrebbe seguire poco successivamente.
";
"*Where possible, create large amounts of crude bandages while reserving Medkits for only dire situations.","* Laddove possibile, creare grandi quantità di bendaggi grezzi mentre riservando i medchi per solo situazioni terribili.";
"*Medkits can save your life when experiencing severe wounds.","* I medkit possono salvarti la vita quando vivendo gravi ferite.";
"Navigation","Navigazione";
"5-1. Navigating through the Gliese 581 System can be both enthralling and frightening. But basic navigation shouldn’t be confusing.

5-2. The Locator provided for the Osiris Mission is an extremely helpful navigational tool. Equipping the locator will reveal the terrain’s topography, names of discovered areas, locations of resources (as indicated by icons), as well as longitude and latitude. Metallic objects will appear on your Locator, as well as your structures.

5-3. Longitude: Longitude is the designated coordinate that identifies the east-west position of a point on the planets terrain. 

5-4. Latitude: Latitude is the designated coordinate that identifies the north-south position of a point on the planets terrain.

5-5. Compass: Your compass is shown in the Top Middle of your display and indicates your direction along with any primary structures you own.
","5-1. La navigazione attraverso il sistema Gliese 581 può essere sia avvincente che spaventoso. Ma la navigazione di base non dovrebbe essere confusa.

5-2. Il localizzatore previsto per la missione OSIRIS è uno strumento di navigazione estremamente utile. Equipaggiamento del localizzatore rivelerà la topografia del terreno, i nomi delle aree scoperte, posizioni delle risorse (come indicato dalle icone), nonché longitudine e latitudine. Gli oggetti metallici appariranno sul tuo localizzatore, così come le tue strutture.

5-3. Longitudine: longitudine è la coordinata designata che identifica la posizione est-ovest di un punto sul terreno del pianeta.

5-4. Latitudine: latitudine è la coordinata designata che identifica la posizione nord-sud di un punto sul terreno del pianeta.

5-5. Bussola: la tua bussola viene visualizzata nella parte superiore del tuo display e indica la direzione insieme a qualsiasi struttura primaria che possiedi.
";
"*Locator will give you positional coordinates on your current planet and can help find natural resources.","* Locator ti fornirà coordinate posizionali sul tuo attuale pianeta e può aiutare a trovare risorse naturali.";
"DATA NOT AVAILABLE
","Dati non disponibili
";
"Tools","Utensili";
"Artillery","Artiglieria";
"Combat Tactics","Tattiche da combattimento";
"6-1. When exploring and crafting, different tools will be useful in accomplishing various tasks. Tools do not have infinite usage and will wear down over time. It is imperative to repair tools when necessary and/or craft new ones as needed. The rate of decay varies from tool to tool. Some tools will require recipes and specific resources, obtainable only by mining or harvesting them, in order to be crafted. Most tools are only useful for mining, though there are a couple that may be used in combat. These are referred to as hybrid tools.

6-2. Keep in mind that not all tools are able to be obtained right from the start. Some tools will only become available as progress is made and skill points are acquired.","6-1. Durante l'esplorazione e la creazione di diversi strumenti saranno utili per realizzare vari compiti. Gli strumenti non hanno un utilizzo infinito e indosserà il tempo nel tempo. È imperativo di riparare strumenti quando necessario e / o artigianale di quelli nuovi necessari. Il tasso di decadimento varia da strumento allo strumento. Alcuni strumenti richiedono ricette e risorse specifiche, ottenibili solo da mining o raccogliendoli, per essere realizzato. La maggior parte degli strumenti è utile solo per l'estrazione mineraria, anche se ci sono una coppia che può essere utilizzata in combattimento. Questi sono indicati come strumenti ibridi.

6-2. Tieni presente che non tutti gli strumenti sono in grado di essere ottenuti fin dall'inizio. Alcuni strumenti saranno disponibili solo in quanto sono realizzati progressi e vengono acquisiti punti abilità.";
"*Chisel can be used to break down minerals.","* Lo scalpello può essere utilizzato per abbattere i minerali.";
"*Shovel can gather loose materials like sand.","* La pala può raccogliere materiali sfusi come la sabbia.";
"6-3. Artillery can be used to protect against indigenous creatures and human threats.  There are several different types of weapons available for use, not all of them available immediately. Which weapons are initially given depends on chosen class: Marine, Scientist, Ranger, or Engineer. There are two main categories of artillery, Melee and Ranged. Each weapon sustains and gives different levels of damage, depending on ammo and weapon type.","6-3. L'artiglieria può essere utilizzata per proteggersi da creature indigene e minacce umane. Ci sono diversi tipi di armi disponibili per l'uso, non tutti sono disponibili immediatamente. Quali armi vengono inizialmente dati dipende dalla classe scelta: Marine, Scienziato, Ranger o Ingegnere. Ci sono due categorie principali di artiglieria, mischia e a distanza. Ogni arma sostiene e fornisce diversi livelli di danno, a seconda delle munizioni e del tipo di arma.";
"*For ranged weapons be mindful of ammunition reserves.","* Per le armi a distanza sono consapevoli di riserve di munizioni.";
"*Melee weapons take a lot of punishment and frequently need to be repaired.","* Le armi corporee prendono molta punizione e spesso devono essere riparate.";
"6-4. Strategy is a key component to surviving Gliese 581 and all that it encompasses. Remaining vigilant at all times and keeping an eye on the horizon is of dire importance. Threats to safety come not only in the form of environmental events, but also indigenous creatures and even other humans. Be prepared. Keep weapons at the ready and fully stocked with ammunition. In some cases, the best tactic is actually fleeing as quickly as possible. Tactics will change on a case by case basis and require critical thinking as well as quick reflexes.","6-4. La strategia è un componente chiave per sopravvivere Gliese 581 e tutto ciò che comprende. Rimanendo vigile in ogni momento e tenendo d'occhio l'orizzonte è di terribile importanza. Minacce per la sicurezza non sono solo sotto forma di eventi ambientali, ma anche creature indigene e persino altri umani. Essere preparato. Tieni le armi al pronto e completamente riforniato di munizioni. In alcuni casi, la tattica migliore è in realtà in fuga il più rapidamente possibile. Le tattiche cambieranno caso per caso e richiedono un pensiero critico e riflessi rapidi.";
"Comms Feed","Feed Comms.";
"Locating Personnel","Personale di localizzazione";
"Colony Development","Sviluppo della colonia";
"7-1. Proper and meaningful communication is extremely valuable and an important tool when exploring the Gliese 581 System. That’s where the Communication Feed is a helpful tool. To access the Communication Feed, press ENTER and then one of the chat commands as needed. 

Chat Commands are as follows:
[TAB] Cycle Available Channels
[/g] Global Channel
[/l] Local Channel
[/c] Colony Channel
[/p] Party Channel
[/w] Whisper Channel
[/r] Reply to previous Whisper
[/ix] Ignore Channel x
[/ux] Unignore Channel x
[/ping] Toggle Audio Ping
[/ompa help] O.M.P.A. Commands
","7-1. La comunicazione corretta e significativa è estremamente preziosa e uno strumento importante durante l'esplorazione del sistema Gliese 581. Ecco dove il feed di comunicazione è uno strumento utile. Per accedere al feed di comunicazione, premere ENTER e quindi uno dei comandi della chat secondo necessità.

I comandi della chat sono i seguenti:
[Scheda] Ciclo Canali disponibili
[/ G] Canale globale
[/ l] canale locale
[/ c] canale della colonia
[/ P] Channel Party
[/ W] Whisper Channel
[/ R] Rispondi al sussurro precedente
[/ IX] Ignora Channel X
[/ UX] Unignore Channel X
[/ ping] Toggle Audio Ping
[/ oma help] o.m.p.a. Comandi
";
"DATA NOT AVAILABLE 
","Dati non disponibili
";
"7-2. Locating other personnel within the Gliese 581 System can greatly increase the chance of survival. That’s why it’s key to constantly be on the look out for others roaming the foreign terrain. 

7-3. One way to locate Personnel is through the Communication Feed located in the upper left-hand corner of your HUD. To access this helpful tool, press ENTER and then locate the appropriate channel you wish to chat in. Once communication with other personnel has been achieved, share the current coordinates and wait until they arrive at the location. 

7-4. Another way to locate personnel is through the use of the Flare Gun. For those times when communication is down or not working, simply equip the flare gun, point it towards the sky, and fire. This will alert any other personnel within the vicinity. 
","7-2. Individuare un altro personale all'interno del sistema Gliese 581 può aumentare notevolmente la possibilità di sopravvivenza. Ecco perché è la chiave per essere costantemente alla ricerca per gli altri che roamano il terreno straniero.

7-3. Un modo per localizzare il personale è attraverso il feed di comunicazione situato nell'angolo in alto a sinistra del tuo HUD. Per accedere a questo strumento utile, premere ENTER e quindi individuare il canale appropriato in cui si desidera chattare. Una volta raggiunta la comunicazione con un altro personale, condividere le coordinate correnti e attendere fino a quando non arrivano nella posizione.

7-4. Un altro modo per localizzare il personale è attraverso l'uso della pistola flare. Per quei tempi in cui la comunicazione è giù o non funziona, equipaggia semplicemente la pistola flare, indicarla verso il cielo e il fuoco. Questo avviserà qualsiasi altro personale nelle vicinanze.
";
"*Flares can be used to locate personnel.","* I razzi possono essere utilizzati per localizzare il personale.";
"7-5. U.N.E. operatives may find themselves coming into contact with other personnel. In these situations, these personnel can group up by either setting up a party or colony. 

7-6. Setting Up A Party: For the personnel creating a party, they need to walk up to the other operative, look at them, and then press [F] to invite. The personnel joining the party must then look and the inviter and then click [ACCEPT] in the menu.
","7-5. U.n.e.e. Gli operatori possono trovarsi entrare in contatto con un altro personale. In queste situazioni, questo personale può raggrupparsi con una festa o una colonia.

7-6. Impostazione di una parte: per il personale che crea una parte, hanno bisogno di camminare all'altro operativo, guardarli, quindi premere [F] per invitare. Il personale che si unisce alla parte deve quindi guardare e l'invitamento e quindi fare clic su [Accetta] nel menu.
";
"7-5. U.N.E. operatives may find themselves coming into contact with other personnel. In these situations, these personnel can group up by either setting up a party or colony. 

7-6. Setting Up A Party: For the personnel creating a party, they need to walk up to the other operative, look at them, and then press [F] to invite. The personnel joining the party must then look and the inviter and then click [ACCEPT] in the menu.

7-7. Setting Up A Colony: A colony is a territory at a specific location on a planet or moon, claimed and controlled by at least one personnel. Personnel can automatically claim a territory when placing a structure on unclaimed ground. This colony can be joined by other personnel when it has been officially created. Creating a colony can be done by following the steps below:

Click on ‘Create Colony.’
Add other personnel by using the multi tool. Please note that personnel have to belong to the same faction in order to join a colony.

Adding other personnel to an existing colony automatically gives them access to anything that is built or crafted after they joined. In order to give them access to previously built/crafted objects, the creator of the colony needs to give access manually using the multi-tool on each object (make public to colony).","7-5. U.n.e.e. Gli operatori possono trovarsi entrare in contatto con un altro personale. In queste situazioni, questo personale può raggrupparsi con una festa o una colonia.

7-6. Impostazione di una parte: per il personale che crea una parte, hanno bisogno di camminare all'altro operativo, guardarli, quindi premere [F] per invitare. Il personale che si unisce alla parte deve quindi guardare e l'invitamento e quindi fare clic su [Accetta] nel menu.

7-7. Impostazione di una colonia: una colonia è un territorio in una posizione specifica su un pianeta o luna, rivendicata e controllata da almeno un personale. Il personale può richiedere automaticamente un territorio quando si posiziona una struttura su un terreno non reclamato. Questa colonia può essere raggiunta da un altro personale quando è stato ufficialmente creato. La creazione di una colonia può essere eseguita seguendo i passaggi seguenti:

Clicca su "Crea colonia".
Aggiungi altro personale utilizzando il multi strumento. Si prega di notare che il personale deve appartenere alla stessa fazione per partecipare a una colonia.

L'aggiunta di un altro personale a una colonia esistente dà loro l'accesso a tutto ciò che è costruito o realizzato dopo che si sono uniti. Per dare loro l'accesso a oggetti precedentemente costruiti / predisposti, il creatore della colonia deve dare accesso manualmente utilizzando il multi-strumento su ciascun oggetto (rendere pubblico alla colonia). ";"
#VALUE!
"Access to utilities","Accesso alle utenze";
",MISSING_TRANSLATION;",", Mancante_traslazione; ";
"7. Commuinications","7. Comunità";
"Basic Shelter","Rifugio di base";
"Habitat System","Sistema di habitat";
"Maintenance","Manutenzione";
"8-1. Creating some form of shelter is in the best interest of survival.

8-2. Upon exiting the pod, an Inflatable Dome will be provided, however, this type of shelter has a short time decay and only offers temporary sanctuary from the harsh environment. Creating a much sturdier shelter should be at the top of the priority list. ","8-1. Creare qualche forma di rifugio è nel miglior interesse della sopravvivenza.

8-2. Dopo aver uscita il pod, verrà fornita una cupola gonfiabile, tuttavia, questo tipo di rifugio ha un breve decadimento del tempo e offre solo un santuario temporaneo dal duro ambiente. La creazione di un rifugio molto più robusto dovrebbe essere in cima alla lista prioritaria.";
"*When Inflatable Dome is not available, create shelter from found materials.","* Quando la cupola gonfiabile non è disponibile, creare rifugio da materiali trovati.";
"8-3. Habitats are based on a modular system of building. Once a habitat is created, adding an airlock will allow for pressurization of the structure. Custom walls make habitats more expansive and personalized. Interconnecting habitats is possible with the incorporation of hallways. Building multilevel structures is also possible, but will require the addition of an elevator.
","8-3. Gli habitat sono basati su un sistema modulare di edificio. Una volta creato un habitat, aggiungere un bagagliaio consentirà la pressurizzazione della struttura. Le pareti personalizzate rendono gli habitat più espansivi e personalizzati. Gli habitat interconnessioni sono possibili con l'incorporazione dei corridoi. Anche la costruzione di strutture multilivello è possibile, ma richiederà l'aggiunta di un ascensore.
";
"*Modular HAB system building is the foundation of all Osiris Mission Colony settlements.","* Modulare HAB System Building è la fondazione di tutti gli insediamenti della colonia di missione Osiris.";
"*Airlock is needed for pressurized HABs.","* È necessario Airlock per gli habs pressurizzati.";
"*Hallways join HABs and other structures.","* I corridoi si uniscono habs e altre strutture.";
"*Add mutliple levels by stacking HABs with the Upper Story attachment.","* Aggiungi livelli di mutuo per impilare gli habs con l'allegato della storia superiore.";
"*Barracks can contain special furniture equipment.","* La caserma può contenere attrezzature per mobili speciali.";
"8-4. Utilities are functional elements that generate air, electricity, and other essentials. Some of these items include: Storage units, Fabricator, Forges, Crafting Tables. In order to craft or build certain utilities, materials must be obtained and required skills must be unlocked. Certain items can also be found in the game by exploring, like batteries, wires, heavy machine gun.Items such as regular bandages and Medkits are able to be crafted using a 3D Printer or Fabricator.

8-5. The ability to craft water in an empty glass jar is possible upon the accumulation of Oxygen & Hydrogen. A Water Reclaimer unit built inside a Habitat will also allow for quenching thirst every few minutes.","8-4. Le utilità sono elementi funzionali che generano aria, elettricità e altri elementi essenziali. Alcuni di questi articoli includono: Unità di stoccaggio, fabbricatori, forgiati, tabelle di crafting. Per creare o costruire determinate utilità, i materiali devono essere ottenuti e le competenze richieste devono essere sbloccate. Alcuni articoli possono anche essere trovati nel gioco esplorando, come batterie, fili, pistola per macchine pesanti. Come ems come bendaggi regolari e medchi di medicina sono in grado di essere realizzati utilizzando una stampante o una fabbricazione 3D.

8-5. La capacità di artigianale in un barattolo di vetro vuoto è possibile sull'accumulo di ossigeno e idrogeno. Un'unità di recupero dell'acqua costruita all'interno di un habitat consentirà anche di tempire la sete ogni pochi minuti. ";
",MISSING_TRANSLATION;",", Mancante_traslazione; ";
"*Storage containers are essential to keeping large amounts of materials safe.","* I contenitori di stoccaggio sono essenziali per mantenere grandi quantità di materiali sicure.";
"*Crafting Utilities such as the 3D Printer can create small useful items.","* I servizi di crafting come la stampante 3D possono creare piccoli elementi utili.";
"*Smelting equipment is necessary for melting down minerals for structure building and item crafting.","* L'apparecchiatura di fusione è necessaria per la fusione dei minerali per la struttura della struttura e il crafting dell'articolo.";
"8-6. Structures are the constituent elements of the colony. Built on essentially a grid, the different components can be snapped together to create large colony complexes for growing food, research, and mutual survival. The current maximum for structures on a single planet is 200, or 20 per player. Aside from Habitats and Huts, there are a many other structures that can be built such as a Biodome, Laboratory, Furniture, Custom Wall Pieces and Utilities.
","8-6. Le strutture sono gli elementi costitutivi della colonia. Costruito sulla griglia essenzialmente, i diversi componenti possono essere spezzati insieme per creare grandi complessi di colonia per crescere cibo, ricerca e sopravvivenza reciproca. L'attuale massimo per le strutture su un unico pianeta è 200 o 20 per giocatore. A parte gli habitat e le capanne, ci sono molte altre strutture che possono essere costruite come un biodomo, laboratorio, mobili, pezzi di muro personalizzati e utilità.
";
"*Biodome are perfect for cultivating food reserves.","* Biodome è perfetto per coltivare le riserve alimentari.";
"*Specialty furniture equipment in the HAB can be extremely useful.","* Le attrezzature per mobili speciali nell'Abs possono essere estremamente utili.";
