"English","Français";
"1-5. Terrain on extra solar planets can be tretcherous and must be traversed with care. Any misstep can lead to damaging your EVA suit and lead to a suit breach, which can be catastrophic. It's imparitive to explore with extreme caution.

1-6. Slope. When attempting to climb a slope be sure to look at your slope warning indicator. For slopes that are greater than 30 degrees, either at an incline or decline, poses a hazard for your traversal. Attempting to jump or run on this uneven terrain is not advised.

Crouching can be used to traverse extreme slopes if needed.","1-5. Le terrain sur des planètes solaires extra-solaires peut être tremblement et doit être parcouru avec soin. Tout faux peut entraîner l'endommagement de votre costume EVA et entraîner une infraction de convivialité, ce qui peut être catastrophique. Il est impéri d'explorer avec une extrême prudence.

1-6. Pente. Lorsque vous essayez de gravir une pente, veillez à regarder votre indicateur d'avertissement de pente. Pour les pentes supérieures à 30 degrés, à une inclinaison ou à une baisse, pose un danger pour votre traversée. Tenter de sauter ou de courir sur ce terrain inégal n'est pas conseillé.

S'accroupement peut être utilisé pour traverser des pistes extrêmes si nécessaire.";
"1-7. Each planet and moon has a unique atmopsheric makeup and will tramatically alter your exploration capabilities.

1-8. Atmopsheric Temperature. The temperature of a world's air and surface is a direct result of its atmopheric density and proximity to its star. Thicker atmopsheres will contain more greenhouse gas effects and create a more stable temperature range (although that temperature may still be extremely cold or hot). Thinner atmopsheres will show a higher range in temperature if the world is not tidally locked to the star, or if so, will ldepend on your geographic location on the world.

1-9. Weather Patterns. There is no telling what you may discover in terms of weather. Your EVA suit was designed to handle known weather situations, but may be suseptible to damage in an extreme situation.

If caught in a Dust Storm, be sure to pay attention to the direction the storm is coming from. Seek shelter however you can to avoid debris from the storm. Crouching can limit the chances of imact by up to 60%.","1-7. Chaque planète et lune a un maquillage unique de l'atmosphère et modifieront tramatiquement vos capacités d'exploration.

1-8. Température de l'atmosphère. La température de l'air et de la surface d'un monde est un résultat direct de sa densité atmosphérique et de sa proximité de son étoile. Les atmosphères plus épaisses contiendront plus d'effets de gaz à effet de serre et créeront une plage de température plus stable (bien que cette température puisse être extrêmement froide ou chaude). Les atmosphères plus minces montrent une plage de température plus élevée si le monde n'est pas verrouillé de la tonnelle à l'étoile ou, dans l'affirmative, lDependez-vous sur votre lieu géographique sur le monde.

1-9. Modèles météorologiques. Il n'y a pas de dire ce que vous pouvez découvrir en termes de temps. Votre costume EVA a été conçu pour gérer des situations météorologiques connues, mais peut être sensible à des dommages dans une situation extrême.

Si pris dans une tempête de poussière, assurez-vous de faire attention à la direction de la tempête. Cherchez un refuge mais vous pouvez éviter les débris de la tempête. Accroupi peut limiter les chances d'imact jusqu'à 60%.";
"1. Physical Environment","1. environnement physique";
"Suit Repair","Réparation de costume";
"Suit Maintenance","Entretien";
"2-1. The EVA Suit designed for the Osiris Mission is equipped with state-of-the-art sensors. These sensors in turn, provided detailed and up-to-the minute status reports on the viability and integrity of the EVA suit. Monitoring these readings in the HUD are integral to survivability. The sensors monitor: oxygen levels, temperature, hydration/nutrition levels, and health and suit health. 

2-2. Oxygen Levels: Monitoring oxygen consumption is integral. Without oxygen, there is no breathing. Be mindful that running and other taxing activity consume more oxygen. Oxygen will replenish based on traces of O2 in the atmosphere.

2-3. Temperature: Maintaining a viable suit temperature is of the utmost importance. Some climes within the Gliese 581 system will harbor environments that are blistering cold, piercingly hot, and variables in between. If the suit becomes too cold, look for ways to increase the temperature, as hypothermia may ensue. If the suit becomes too hot, look for ways to decrease the temperature, as it may result in death.

2-4. Hydration/Nutrition: Hydration is the outer ring while Nutrition is the inner ring.  Hunger and thirst, if not remedied, can cause a decline in health and performance. Your actions such as running and jumping will impact your thirst and hunger.

2-6. Health/Suit Integrity: Health is the outer ring while Suit Integrity is the inner ring. In instances or severe injuries or suit breaches, Oxygen levels will drop. To fix suit breaches or severe injuries, equip and use bandages, either found or crafted. ","2-1. Le costume EVA conçu pour la mission Osiris est équipé de capteurs à la pointe de la technologie. Ces capteurs à leur tour, fournis des rapports d'état détaillés et à la minute à la minute sur la viabilité et l'intégrité de la combinaison EVA. Surveiller ces lectures dans le HUD font partie intégrante de la survie. Les capteurs surveillent: niveaux d'oxygène, température, hydratation / nutrition, ainsi que la santé et la santé.

2-2. Niveaux d'oxygène: Surveillance de la consommation d'oxygène fait partie intégrante. Sans oxygène, il n'y a pas de respiration. Soyez conscient que la course à pied et d'autres activités de taxation consomment plus d'oxygène. L'oxygène se reconstituera en fonction de traces d'O2 dans l'atmosphère.

2-3. Température: Le maintien d'une température de correspondance viable est de la plus haute importance. Certains climats au sein du système Gliese 581 abriteront des environnements cloquants froids, percablement chauds et variables entre les deux. Si le costume devient trop froid, cherchez des moyens d'augmenter la température, car l'hypothermie peut s'ensuivre. Si la combinaison devient trop chaude, cherchez des moyens de réduire la température, car cela pourrait entraîner la mort.

2-4. Hydratation / Nutrition: L'hydratation est la bague extérieure tandis que la nutrition est la bague intérieure. La faim et la soif, si non corrigé, peuvent provoquer une baisse de la santé et de la performance. Vos actions telles que courir et sauter auront une incidence sur votre soif et votre faim.

2-6. Santé / Contact Intégrité: La santé est la bague extérieure tandis que l'intégrité de la convention est la bague intérieure. Dans des cas ou des blessures graves ou des violations de conversation, les niveaux d'oxygène vont baisser. Pour résoudre des violations de conversation ou des blessures graves, équiper et utiliser des bandages, trouvés ou fabriqués.";
"2-7. If the EVA suit becomes damaged or breached during exploration of the Gliese 581 system, make sure to equip and use patch tape to address the breach. Then equip and use bandages to re-stabilize suit integrity. Failure to do so may result in suffocation or possibly death.
","2-7. Si la combinaison EVA devient endommagée ou enfreinte lors de l'exploration du système Gliese 581, assurez-vous d'équiper et d'utiliser du ruban adhésif pour répondre à la violation. Ensuite, équiper et utiliser des bandages pour raffermir l'intégrité de convivialité. Le défaut de le faire peut entraîner une suffocation ou éventuellement la mort.
";
"*Use patch tape to repair your EVA suit.","* Utilisez du ruban adhésif pour réparer votre costume EVA.";
"2-8. To ensure optimal EVA performance is achieved, suit maintenance is required when necessary. Patch tape and bandages are required deal with suit breaches. Failure to maintain the suit may result in suffocation or possibly death.

Be sure to mind the environment. Beware of sharp objects as these can pierce your suit and cause a suit breach. Take caution in climbing steep slopes, crouching carefully where possible.","2-8. Pour assurer une performance optimale d'EVA, la maintenance est requise si nécessaire. Le ruban adhésif et les bandages sont nécessaires avec des violations de conversation. L'absence de maintenance peut entraîner une suffocation ou éventuellement la mort.

Assurez-vous de respecter l'environnement. Méfiez-vous des objets tranchants comme ceux-ci peuvent percer votre costume et causer une violation de convivialité. Prenez prudence dans la grimpe des pentes abruptes, accroupi avec soigneusement dans la mesure du possible.";
"*Use patch tape and bandages for EVA suit repair and maintenance.","* Utilisez du ruban adhésif et des bandages pour la réparation et la maintenance en costume EVA.";
"*Keep your eye on o2 readings. Be sure to allow your o2 scrubber to replenish while in atmospheres with gases that contain oxygen. NOTE - o2 does not replenish while in space or in very thin atmospheres.","* Gardez vos yeux sur des lectures O2. Assurez-vous de permettre à votre écraser O2 de se reconstituer dans des atmosphères avec des gaz contenant de l'oxygène. Remarque - O2 ne reconstitue pas dans l'espace ou dans des atmosphères très minces.";
"*Zero oxygen will cause suffocation. It is advisable to cease moving until your o2 scrubber can begin to replenish o2 in your EVA suit.","* Zéro oxygène va causer une suffocation. Il est conseillé de cesser de bouger jusqu'à ce que votre épurateur O2 puisse commencer à reconstituer O2 dans votre costume EVA.";
"2. Osiris Mission EVA Suit","2. Osiris Mission Eva Costume";
"Physical Conditioning","Conditionnement physique";
"Hydration","Hydratation";
"Food Preparation","La préparation des aliments";
"3-1. Quality of life is largely dependent on nutrition, hydration and general health. Over time, physical condition can deteriorate, affecting speed and survival. Hunger and thirst, if not remedied, can cause a decline in health and performance. Climate conditions such as heat and cold also have an effect. It is imperative to monitor these using the suit readings provided.

3-2. When physical condition decreases and health is impaired, healing is possible using certain types of food and bandages. Healing is crucial in order to sustain life.
","3-1. La qualité de vie dépend en grande partie de la nutrition, de l'hydratation et de la santé générale. Au fil du temps, la condition physique peut se détériorer, affecter la vitesse et la survie. La faim et la soif, si non corrigé, peuvent provoquer une baisse de la santé et de la performance. Les conditions climatiques telles que la chaleur et le froid ont également un effet. Il est impératif de surveiller ces utilisateurs utilisant les lectures de costumes fournies.

3-2. Lorsque la condition physique diminue et la santé est altérée, la guérison est possible en utilisant certains types de nourriture et de bandages. La guérison est cruciale afin de maintenir la vie.
";
"3-3. Loss of body water, or dehydration, plays a major role in health and survival. Depending upon level of exertion, hydration needs will fluctuate. Be sure to check hydration levels and consume water whenever the suit reading (located in the lower left-hand corner) indicates the need to do so.
","3-3. La perte d'eau corporelle ou de déshydratation joue un rôle majeur dans la santé et la survie. En fonction du niveau d'effort, les besoins de l'hydratation fluctuent. Assurez-vous de vérifier les niveaux d'hydratation et de consommer de l'eau chaque fois que la lecture de combinaison (située dans le coin inférieur gauche) indique la nécessité de le faire.
";
"3-4. Poor nutrition contributes to deterioration in quality of life and chance of survival. Caloric intake is necessary, as well as attention to the types and sources of calories. Almost anything is edible, but not every type of food will heal. Some sources of nutrition will only satisfy the need for calories. Remember to monitor hunger in the suit readings (located in the lower left-hand corner) and replenish calories as needed.
","3-4. Une mauvaise nutrition contribue à la détérioration de la qualité de vie et de la chance de survie. L'apport calorique est nécessaire, ainsi que l'attention sur les types et les sources de calories. Presque tout est comestible, mais tous les types de nourriture ne guériront pas. Certaines sources de nutrition ne satisferont que le besoin de calories. N'oubliez pas de surveiller la faim dans les lectures de costume (situées dans le coin inférieur gauche) et de reconstituer des calories au besoin.
";
"Hypothermia","Hypothermie";
"Dehydration","Déshydratation";
"Minor Injuries","Blessures mineures";
"Severe Injuries","Blessures graves";
"4-1. Cold injuries, both freezing and non-freezing, are a serious threat. Hypothermia is a potentially dangerous drop in body temperature, usually caused by prolonged exposure to cold temperatures. Keeping aware of the outside temperature and suit temperature is vital.  Cold weather injury prevention and timely shelter construction are also critical and may help avoid debilitating injuries. When temperatures drop, be sure to employ methods of creating internal warmth.","4-1. Les blessures froides, à la fois gelage et non-gel, constituent une menace sérieuse. L'hypothermie est une chute potentiellement dangereuse de la température corporelle, généralement causée par une exposition prolongée aux températures froides. Garder conscience de la température extérieure et de la température de fonction est vitale. La prévention des blessures par temps froid et la construction de refuge en temps opportun sont également critiques et peuvent aider à éviter les blessures débilitantes. Lorsque les températures tombent, assurez-vous d'utiliser des méthodes de création de la chaleur interne.";
"4-2. Dehydration happens when your body doesn't have as much water as it needs. Without enough, your body can't function properly. You can have mild, moderate, or severe dehydration depending on how much fluid is missing from your body. Avoid becoming dehydrated by checking the suit reading on hydration level (located in the lower left-hand corner.) Replenish and consume fluids on a regular basis. When temperatures rise due to weather conditions, decreasing internal suit temperature may become necessary to avoid dehydration and even fatality.

Food can be a source of hydration if a Chem Station to create water is not available.","4-2. La déshydratation se produit lorsque votre corps n'a pas autant d'eau qu'il en a besoin. Sans assez, votre corps ne peut pas fonctionner correctement. Vous pouvez avoir une déshydratation légère, modérée ou sévère en fonction de la quantité de liquide manquante de votre corps. Évitez de devenir déshydratés en vérifiant la lecture de combinaison sur le niveau d'hydratation (située dans le coin inférieur gauche.) Recommencer et consommer des fluides régulièrement. Lorsque les températures augmentent en raison des conditions météorologiques, la diminution de la température de costume interne peut devenir nécessaire pour éviter la déshydratation et même la fatalité.

La nourriture peut être une source d'hydratation si une station de chimie pour créer de l'eau n'est pas disponible.";
"4-3. It is very likely that minor injuries will occur when in combat against indigenous creatures, during missions, or even performing regular tasks. Suit breaches are the most common type of minor injury. If a suit breach occurs, use patch type to repair as soon as is possible.
","4-3. Il est très probable que des blessures mineures se produiront lors de la lutte contre les créatures autochtones, pendant les missions, voire des tâches régulières. Les violations de conversation sont le type de blessure mineure le plus courant. Si une infraction en fonction se produit, utilisez le type de patch pour réparer dès que possible.
";
"*Bandages can heal minor wounds.","* Les bandages peuvent guérir des blessures mineures.";
"*If on a planet with foliage species, attempt to create crude bandages when out of manuafactured bandage reserves.","* Si sur une planète avec des espèces de feuillage, essayez de créer des bandages bruts lors de la sortie de réserves de bandage manufacturées.";
"4-4. In the event a severe injury occurs, immediately find or craft bandages and use them to heal. If this is not done in an expedient manner, health will rapidly deteriorate and death may follow shortly thereafter.
","4-4. Dans le cas où une blessure grave se produit, trouvez immédiatement des bandages d'embarcation et utilisez-les pour guérir. Si cela n'est pas fait de manière rapide, la santé se détériorera rapidement et la mort peut suivre peu de temps après.
";
"*Where possible, create large amounts of crude bandages while reserving Medkits for only dire situations.","* Dans la mesure du possible, créez de grandes quantités de bandages bruts tout en réservant des medkits pour seulement des situations désireuses.";
"*Medkits can save your life when experiencing severe wounds.","* Les medkits peuvent sauver votre vie lorsqu'ils vivent des blessures graves.";
"Navigation","La navigation";
"5-1. Navigating through the Gliese 581 System can be both enthralling and frightening. But basic navigation shouldn’t be confusing.

5-2. The Locator provided for the Osiris Mission is an extremely helpful navigational tool. Equipping the locator will reveal the terrain’s topography, names of discovered areas, locations of resources (as indicated by icons), as well as longitude and latitude. Metallic objects will appear on your Locator, as well as your structures.

5-3. Longitude: Longitude is the designated coordinate that identifies the east-west position of a point on the planets terrain. 

5-4. Latitude: Latitude is the designated coordinate that identifies the north-south position of a point on the planets terrain.

5-5. Compass: Your compass is shown in the Top Middle of your display and indicates your direction along with any primary structures you own.
","5-1. Naviguer à travers le système Gliese 581 peut être à la fois captivé et effrayant. Mais la navigation de base ne devrait pas être déroutante.

5-2. Le localisateur prévu à la mission Osiris est un outil de navigation extrêmement utile. L'équipement du localisateur révélera la topographie du terrain, les noms des zones découvertes, les emplacements des ressources (comme indiqué par des icônes), ainsi que la longitude et la latitude. Les objets métalliques apparaîtront sur votre localisateur, ainsi que vos structures.

5-3. Longitude: la longitude est la coordonnée désignée qui identifie la position est-ouest d'un point sur le terrain des planètes.

5-4. Latitude: la latitude est la coordonnée désignée qui identifie la position nord-sud d'un point sur le terrain des planètes.

5-5. Compass: Votre boussole est affichée en haut au milieu de votre écran et indique votre direction avec toutes les structures primaires que vous possédez.
";
"*Locator will give you positional coordinates on your current planet and can help find natural resources.","* Le localisateur vous donnera des coordonnées de position sur votre planète actuelle et vous aidera à trouver des ressources naturelles.";
"DATA NOT AVAILABLE
","DONNÉES NON DISPONIBLES
";
"Tools","Outils";
"Artillery","Artillerie";
"Combat Tactics","Tactiques de combat";
"6-1. When exploring and crafting, different tools will be useful in accomplishing various tasks. Tools do not have infinite usage and will wear down over time. It is imperative to repair tools when necessary and/or craft new ones as needed. The rate of decay varies from tool to tool. Some tools will require recipes and specific resources, obtainable only by mining or harvesting them, in order to be crafted. Most tools are only useful for mining, though there are a couple that may be used in combat. These are referred to as hybrid tools.

6-2. Keep in mind that not all tools are able to be obtained right from the start. Some tools will only become available as progress is made and skill points are acquired.","6-1. Lors de l'exploration et de l'artisanat, différents outils seront utiles pour accomplir diverses tâches. Les outils n'ont pas d'utilisation infinie et porteront sur le temps. Il est impératif de réparer les outils lorsque cela est nécessaire et / ou d'embrocher de nouveaux au besoin. Le taux de décroissance varie de l'outil à l'outil. Certains outils nécessiteront des recettes et des ressources spécifiques, obtenues uniquement en minant ou en les récoltant, pour être fabriqués. La plupart des outils ne sont utiles que pour les mines, bien qu'il y ait un couple qui peut être utilisé au combat. Ceux-ci sont appelés outils hybrides.

6-2. N'oubliez pas que tous les outils ne peuvent pas être obtenus dès le début. Certains outils ne deviendront disponibles que lorsque des progrès sont effectués et que des points de compétence sont acquis.";
"*Chisel can be used to break down minerals.","* Le ciseau peut être utilisé pour décomposer les minéraux.";
"*Shovel can gather loose materials like sand.","* La pelle peut rassembler des matériaux en vrac comme du sable.";
"6-3. Artillery can be used to protect against indigenous creatures and human threats.  There are several different types of weapons available for use, not all of them available immediately. Which weapons are initially given depends on chosen class: Marine, Scientist, Ranger, or Engineer. There are two main categories of artillery, Melee and Ranged. Each weapon sustains and gives different levels of damage, depending on ammo and weapon type.","6-3. L'artillerie peut être utilisée pour protéger contre les créatures autochtones et les menaces humaines. Il existe plusieurs types d'armes disponibles pour une utilisation, pas toutes disponibles immédiatement. Quelles armes sont initialement données dépend de la classe choisie: marine, scientifique, ranger ou ingénieur. Il y a deux catégories principales d'artillerie, de mêlée et de distance. Chaque arme soutient et donne différents niveaux de dommages, en fonction des munitions et du type d'arme.";
"*For ranged weapons be mindful of ammunition reserves.","* Pour les armes à distance, soyez conscient des réserves de munitions.";
"*Melee weapons take a lot of punishment and frequently need to be repaired.","* Les armes de mêlée prennent beaucoup de punition et doivent souvent être réparées.";
"6-4. Strategy is a key component to surviving Gliese 581 and all that it encompasses. Remaining vigilant at all times and keeping an eye on the horizon is of dire importance. Threats to safety come not only in the form of environmental events, but also indigenous creatures and even other humans. Be prepared. Keep weapons at the ready and fully stocked with ammunition. In some cases, the best tactic is actually fleeing as quickly as possible. Tactics will change on a case by case basis and require critical thinking as well as quick reflexes.","6-4. La stratégie est une composante essentielle pour survivre à Gliese 581 et tout ce qu'elle englobe. Restant vigilant à tout moment et garder un œil à l'horizon est d'une importance désireuse. Les menaces pour la sécurité sont non seulement sous forme d'événements environnementaux, mais aussi des créatures autochtones et même d'autres humains. Être préparé. Gardez des armes à l'emploi et entièrement stockées avec des munitions. Dans certains cas, la meilleure tactique fut en train de fuir le plus rapidement possible. La tactique va changer au cas par cas et nécessitera une pensée critique ainsi que des réflexes rapides.";
"Comms Feed","Flux de communes";
"Locating Personnel","Localisation du personnel";
"Colony Development","Développement de la colonie";
"7-1. Proper and meaningful communication is extremely valuable and an important tool when exploring the Gliese 581 System. That’s where the Communication Feed is a helpful tool. To access the Communication Feed, press ENTER and then one of the chat commands as needed. 

Chat Commands are as follows:
[TAB] Cycle Available Channels
[/g] Global Channel
[/l] Local Channel
[/c] Colony Channel
[/p] Party Channel
[/w] Whisper Channel
[/r] Reply to previous Whisper
[/ix] Ignore Channel x
[/ux] Unignore Channel x
[/ping] Toggle Audio Ping
[/ompa help] O.M.P.A. Commands
","7-1. Une communication correcte et significative est extrêmement précieuse et un outil important lors de l'exploration du système GLIESE 581. C'est là que l'alimentation de la communication est un outil utile. Pour accéder à l'alimentation de la communication, appuyez sur ENTER, puis sur l'une des commandes de discussion au besoin.

Les commandes de discussion sont les suivantes:
[TAB] CYCLE CHAUBLES DISPONIBLES
[/ g] canal mondial
[/ l] canal local
[/ c] Colony Channel
[/ P] canal de fête
[/ W] Whisper Channel
[/ r] Répondre à un murmure précédent
[/ ix] ignorer le canal x
[/ ux] canal unignore x
[/ Ping] Toggle Audio Ping
[/ OMPA AIDE] O.M.P.A. Commandes
";
"DATA NOT AVAILABLE 
","DONNÉES NON DISPONIBLES
";
"7-2. Locating other personnel within the Gliese 581 System can greatly increase the chance of survival. That’s why it’s key to constantly be on the look out for others roaming the foreign terrain. 

7-3. One way to locate Personnel is through the Communication Feed located in the upper left-hand corner of your HUD. To access this helpful tool, press ENTER and then locate the appropriate channel you wish to chat in. Once communication with other personnel has been achieved, share the current coordinates and wait until they arrive at the location. 

7-4. Another way to locate personnel is through the use of the Flare Gun. For those times when communication is down or not working, simply equip the flare gun, point it towards the sky, and fire. This will alert any other personnel within the vicinity. 
","7-2. La localisation d'autres membres du personnel du système Gliese 581 peut considérablement augmenter les chances de survie. C'est pourquoi il est clé pour constamment être sur le point de vue des autres errant sur le terrain étranger.

7-3. Une façon de localiser le personnel se fait par l'alimentation de communication située dans le coin supérieur gauche de votre HUD. Pour accéder à cet outil utile, appuyez sur Entrée, puis localisez le canal approprié que vous souhaitez discuter. Une fois que la communication avec d'autres membres du personnel a été réalisée, partagez les coordonnées actuelles et attendez jusqu'à ce qu'ils arrivent à l'emplacement.

7-4. Une autre façon de localiser le personnel consiste à utiliser le pistolet anti-fusée. Pour ces moments où la communication est en panne ou ne fonctionne pas, équiper simplement le pistolet anti-fusée, le pointe vers le ciel et le feu. Cela alerte tout autre personnel à proximité.
";
"*Flares can be used to locate personnel.","* Les fusées éclairantes peuvent être utilisées pour localiser le personnel.";
"7-5. U.N.E. operatives may find themselves coming into contact with other personnel. In these situations, these personnel can group up by either setting up a party or colony. 

7-6. Setting Up A Party: For the personnel creating a party, they need to walk up to the other operative, look at them, and then press [F] to invite. The personnel joining the party must then look and the inviter and then click [ACCEPT] in the menu.
","7-5. U.n.e. Les agents peuvent se trouver en contact avec d'autres membres du personnel. Dans ces situations, ces personnels peuvent se regrouper en mettant en place une fête ou une colonie.

7-6. Configuration d'une partie: Pour le personnel créant une fête, ils doivent marcher jusqu'à l'autre opération, les regarder, puis appuyer sur [F] pour inviter. Le personnel rejoignant la partie doit ensuite regarder et l'inviter, puis cliquez sur [Accepter] dans le menu.
";
"7-5. U.N.E. operatives may find themselves coming into contact with other personnel. In these situations, these personnel can group up by either setting up a party or colony. 

7-6. Setting Up A Party: For the personnel creating a party, they need to walk up to the other operative, look at them, and then press [F] to invite. The personnel joining the party must then look and the inviter and then click [ACCEPT] in the menu.

7-7. Setting Up A Colony: A colony is a territory at a specific location on a planet or moon, claimed and controlled by at least one personnel. Personnel can automatically claim a territory when placing a structure on unclaimed ground. This colony can be joined by other personnel when it has been officially created. Creating a colony can be done by following the steps below:

Click on ‘Create Colony.’
Add other personnel by using the multi tool. Please note that personnel have to belong to the same faction in order to join a colony.

Adding other personnel to an existing colony automatically gives them access to anything that is built or crafted after they joined. In order to give them access to previously built/crafted objects, the creator of the colony needs to give access manually using the multi-tool on each object (make public to colony).","7-5. U.n.e. Les agents peuvent se trouver en contact avec d'autres membres du personnel. Dans ces situations, ces personnels peuvent se regrouper en mettant en place une fête ou une colonie.

7-6. Configuration d'une partie: Pour le personnel créant une fête, ils doivent marcher jusqu'à l'autre opération, les regarder, puis appuyer sur [F] pour inviter. Le personnel rejoignant la partie doit ensuite regarder et l'inviter, puis cliquez sur [Accepter] dans le menu.

7-7. Mise en place d'une colonie: une colonie est un territoire à un endroit spécifique sur une planète ou une lune, revendiquée et contrôlée par au moins un personnel. Le personnel peut revendiquer automatiquement un territoire lors de la mise en place d'une structure sur un sol non réclamé. Cette colonie peut être jointe par d'autres membres du personnel lorsqu'elle a été officiellement créée. La création d'une colonie peut être effectuée en suivant les étapes ci-dessous:

Cliquez sur 'Créer une colonie.
Ajoutez d'autres membres du personnel à l'aide de l'outil multi-outil. Veuillez noter que le personnel doit appartenir à la même faction afin de rejoindre une colonie.

Ajout d'un autre personnel à une colonie existante leur donne automatiquement accès à tout ce qui est construit ou fabriqué après leur jointure. Afin de leur donner accès à des objets construits / fabriqués précédemment, le créateur de la colonie doit donner accès manuellement à l'aide de l'outil multi-outil sur chaque objet (rendre public à la colonie). ";"
#VALUE!
"Access to utilities","Accès aux utilitaires";
",MISSING_TRANSLATION;",", Manquant_translation; ";
"7. Commuinications","7. Commuinications";
"Basic Shelter","Abri de base";
"Habitat System","Système d'habitat";
"Maintenance","Maintenance";
"8-1. Creating some form of shelter is in the best interest of survival.

8-2. Upon exiting the pod, an Inflatable Dome will be provided, however, this type of shelter has a short time decay and only offers temporary sanctuary from the harsh environment. Creating a much sturdier shelter should be at the top of the priority list. ","8-1. Créer une forme d'abri est dans le meilleur intérêt de la survie.

8-2. Lors de la sortie de la cosse, un dôme gonflable sera fourni, cependant, ce type d'abri a une carrefour de temps et offre uniquement un sanctuaire temporaire de l'environnement dur. Créer un abri beaucoup plus robuste devrait être en haut de la liste des priorités.";
"*When Inflatable Dome is not available, create shelter from found materials.","* Lorsque le dôme gonflable n'est pas disponible, créez un abri des matériaux trouvés.";
"8-3. Habitats are based on a modular system of building. Once a habitat is created, adding an airlock will allow for pressurization of the structure. Custom walls make habitats more expansive and personalized. Interconnecting habitats is possible with the incorporation of hallways. Building multilevel structures is also possible, but will require the addition of an elevator.
","8-3. Les habitats sont basés sur un système modulaire de bâtiment. Une fois qu'un habitat est créé, l'ajout d'un simlock permettra une pressurisation de la structure. Les murs personnalisés font des habitats plus expansifs et personnalisés. Les habitats interconnectés sont possibles avec l'incorporation de couloirs. La construction de structures multiniveaux est également possible, mais nécessitera l'ajout d'un ascenseur.
";
"*Modular HAB system building is the foundation of all Osiris Mission Colony settlements.","* Le bâtiment modulaire du système Hab est le fondement de toutes les colonies de colonies de la mission Osiris.";
"*Airlock is needed for pressurized HABs.","* Le sas est nécessaire pour les habs sous pression.";
"*Hallways join HABs and other structures.","* Les couloirs rejoignent des habs et d'autres structures.";
"*Add mutliple levels by stacking HABs with the Upper Story attachment.","* Ajoutez des niveaux mutliple en empilant des habs avec la pièce jointe supérieure.";
"*Barracks can contain special furniture equipment.","* Les casernes peuvent contenir des équipements de meubles spéciaux.";
"8-4. Utilities are functional elements that generate air, electricity, and other essentials. Some of these items include: Storage units, Fabricator, Forges, Crafting Tables. In order to craft or build certain utilities, materials must be obtained and required skills must be unlocked. Certain items can also be found in the game by exploring, like batteries, wires, heavy machine gun.Items such as regular bandages and Medkits are able to be crafted using a 3D Printer or Fabricator.

8-5. The ability to craft water in an empty glass jar is possible upon the accumulation of Oxygen & Hydrogen. A Water Reclaimer unit built inside a Habitat will also allow for quenching thirst every few minutes.","8-4. Les utilitaires sont des éléments fonctionnels qui génèrent de l'air, de l'électricité et d'autres éléments essentiels. Certains de ces articles comprennent: unités de stockage, fabricant, forges, tables d'artisanat. Afin de créer ou de construire certains utilitaires, les matériaux doivent être obtenus et les compétences requises doivent être déverrouillées. Certains articles peuvent également être trouvés dans le jeu en explorant, comme des piles, des fils, des mitrailleuses lourdes.Items tels que des bandages réguliers et des medkits peuvent être fabriqués à l'aide d'une imprimante 3D ou d'un fabricant.

8-5. La capacité d'embarquer de l'eau dans un bocal de verre vide est possible sur l'accumulation d'oxygène et d'hydrogène. Une unité de récupération d'eau construite à l'intérieur d'un habitat permettra également de tremper la soif toutes les quelques minutes. ";
",MISSING_TRANSLATION;",", Manquant_translation; ";
"*Storage containers are essential to keeping large amounts of materials safe.","* Les conteneurs de stockage sont essentiels pour maintenir de grandes quantités de matériaux sans danger.";
"*Crafting Utilities such as the 3D Printer can create small useful items.","* Les utilitaires d'artisanat tels que l'imprimante 3D peuvent créer de petits éléments utiles.";
"*Smelting equipment is necessary for melting down minerals for structure building and item crafting.","* L'équipement de fusion est nécessaire pour la fusion des minéraux pour la structure du bâtiment et de l'artisanat.";
"8-6. Structures are the constituent elements of the colony. Built on essentially a grid, the different components can be snapped together to create large colony complexes for growing food, research, and mutual survival. The current maximum for structures on a single planet is 200, or 20 per player. Aside from Habitats and Huts, there are a many other structures that can be built such as a Biodome, Laboratory, Furniture, Custom Wall Pieces and Utilities.
","8-6. Les structures sont les éléments constitutifs de la colonie. Construit essentiellement une grille, les différents composants peuvent être cassés ensemble pour créer de grandes complexes de colonies pour la culture de la nourriture, de la recherche et de la survie mutuelle. Le maximum actuel pour les structures sur une planète unique est de 200 ou 20 par joueur. Outre les habitats et les cabanes, il existe de nombreuses autres structures pouvant être construites telles que biodôme, laboratoire, mobilier, pièces murales personnalisées et utilitaires.
";
"*Biodome are perfect for cultivating food reserves.","* Le biodôme est parfait pour la culture des réserves de nourriture.";
"*Specialty furniture equipment in the HAB can be extremely useful.","* Les équipements de meubles spécialisés dans le HAB peuvent être extrêmement utiles.";
"*Solar panels must be used to power structures and utilities.","* Les panneaux solaires doivent être utilisés pour alimenter des structures et des utilitaires.";
"*Create unique structures with custom prefabs.","* Créez des structures uniques avec des préfabriques personnalisées.";
"*Laboratory is a factory system that can build vehicles and robots.","* Laboratoire est un système d'usine capable de construire des véhicules et des robots.";
