"English","中文";
"2-7. If the EVA suit becomes damaged or breached during exploration of the Gliese 581 system, make sure to equip and use patch tape to address the breach. Then equip and use bandages to re-stabilize suit integrity. Failure to do so may result in suffocation or possibly death.
","2-7。如果EVA套装在勘探型581系统勘探期间损坏或破坏，请务必装备和使用贴片磁带来解决违规行为。然后装备并使用绷带重新稳定西装完整性。不这样做可能会导致窒息或可能是死亡。
";
"*Use patch tape to repair your EVA suit.","*使用贴片胶带修复您的EVA套装。";
"2-8. To ensure optimal EVA performance is achieved, suit maintenance is required when necessary. Patch tape and bandages are required deal with suit breaches. Failure to maintain the suit may result in suffocation or possibly death.

Be sure to mind the environment. Beware of sharp objects as these can pierce your suit and cause a suit breach. Take caution in climbing steep slopes, crouching carefully where possible.","2-8。为确保实现最佳EVA性能，必要时需要维护。贴片磁带和绷带是必需的，适合违规行为。未能维持诉讼可能会导致窒息或可能是死亡。

一定要介意环境。小心尖锐的物体，因为这些物体可以刺穿你的西装并导致衣服违规。小心爬上陡坡，仔细蹲下。";
"*Use patch tape and bandages for EVA suit repair and maintenance.","*使用贴片胶带和绷带进行EVA套装维修和维护。";
"*Keep your eye on o2 readings. Be sure to allow your o2 scrubber to replenish while in atmospheres with gases that contain oxygen. NOTE - o2 does not replenish while in space or in very thin atmospheres.","*请注意O2读数。务必允许您的O2洗涤器在大气中补充，其中气体含有氧气。注 -  O2在空间或非常薄的环境中不补充。";
"*Zero oxygen will cause suffocation. It is advisable to cease moving until your o2 scrubber can begin to replenish o2 in your EVA suit.","*零氧管会导致窒息。建议停止移动，直到您的O2洗涤器可以在EVA套装中重新补充O2。";
"2. Osiris Mission EVA Suit","奥西里斯任务伊娃套装";
"Physical Conditioning","身体调理";
"Hydration","水合作用";
"Food Preparation","准备食材";
"3-1. Quality of life is largely dependent on nutrition, hydration and general health. Over time, physical condition can deteriorate, affecting speed and survival. Hunger and thirst, if not remedied, can cause a decline in health and performance. Climate conditions such as heat and cold also have an effect. It is imperative to monitor these using the suit readings provided.

3-2. When physical condition decreases and health is impaired, healing is possible using certain types of food and bandages. Healing is crucial in order to sustain life.
","3-1。生活质量在很大程度上取决于营养，水合和一般健康。随着时间的推移，身体状况会恶化，影响速度和生存。饥饿和渴望，如果没有纠正，会导致健康和表现下降。热和冷等气候条件也有效果。必须使用提供的套装读数来监测这些。

3-2。当物理条件降低和健康受损时，使用某些类型的食物和绷带可以进行愈合。为了维持生命，愈合至关重要。
";
"3-3. Loss of body water, or dehydration, plays a major role in health and survival. Depending upon level of exertion, hydration needs will fluctuate. Be sure to check hydration levels and consume water whenever the suit reading (located in the lower left-hand corner) indicates the need to do so.
","3-3。丧失身体水，或脱水，在健康和生存中发挥着重要作用。根据劳累水平，水合需要将波动。请务必检查水合水平并在套装读取（位于左下角）表示需要这样做。
";
"3-4. Poor nutrition contributes to deterioration in quality of life and chance of survival. Caloric intake is necessary, as well as attention to the types and sources of calories. Almost anything is edible, but not every type of food will heal. Some sources of nutrition will only satisfy the need for calories. Remember to monitor hunger in the suit readings (located in the lower left-hand corner) and replenish calories as needed.
","3-4。营养不佳有助于生活质量和生存机会的恶化。热量摄入是必要的，并注意热量的类型和来源。几乎任何东西都是可食用的，但不是每种类型的食物都会愈合。一些营养来源只会满足卡路里的需求。请记住监测西装读数（位于左下角）的饥饿，并根据需要补充卡路里。
";
"Hypothermia","低温";
"Dehydration","脱水";
"Minor Injuries","轻伤";
"Severe Injuries","严重伤害";
"4-1. Cold injuries, both freezing and non-freezing, are a serious threat. Hypothermia is a potentially dangerous drop in body temperature, usually caused by prolonged exposure to cold temperatures. Keeping aware of the outside temperature and suit temperature is vital.  Cold weather injury prevention and timely shelter construction are also critical and may help avoid debilitating injuries. When temperatures drop, be sure to employ methods of creating internal warmth.","4-1。冷伤，冻结和非冻结，是严重的威胁。体温过低是体温潜在危险的下降，通常由长时间暴露于寒冷的温度引起。保持意识到外部温度并适合温度至关重要。防寒天气损伤预防和及时遮蔽建设也至关重要，可能有助于避免衰弱的伤害。当温度下降时，一定要采用创造内部温暖的方法。";
"4-2. Dehydration happens when your body doesn't have as much water as it needs. Without enough, your body can't function properly. You can have mild, moderate, or severe dehydration depending on how much fluid is missing from your body. Avoid becoming dehydrated by checking the suit reading on hydration level (located in the lower left-hand corner.) Replenish and consume fluids on a regular basis. When temperatures rise due to weather conditions, decreasing internal suit temperature may become necessary to avoid dehydration and even fatality.

Food can be a source of hydration if a Chem Station to create water is not available.","4-2。当你的身体在需要时，脱水会发生这种情况。没有足够的，你的身体无法正常运作。根据您身体缺少多少流体，您可以具有轻度，中等或严重的脱水。避免通过检查水合水平（位于左下角的套装）来脱水。）定期补充和消耗液体。当温度上升由于天气条件，可能需要降低内部适合温度以避免脱水甚至死亡。

如果不可用Chem站，食物可以是水合的源泉。";
"4-3. It is very likely that minor injuries will occur when in combat against indigenous creatures, during missions, or even performing regular tasks. Suit breaches are the most common type of minor injury. If a suit breach occurs, use patch type to repair as soon as is possible.
","4-3。在任务期间，在任务期间或甚至进行定期任务时，在对抗土着生物时会发生轻微伤害很可能。诉讼违规是最常见的轻微伤害类型。如果发生适合突发，请使用补丁类型尽快修复。
";
"*Bandages can heal minor wounds.","*绷带可以治愈轻微伤口。";
"*If on a planet with foliage species, attempt to create crude bandages when out of manuafactured bandage reserves.","*如果在带有叶子物种的行星上，试图在制造绷带储备外时创建原油绷带。";
"4-4. In the event a severe injury occurs, immediately find or craft bandages and use them to heal. If this is not done in an expedient manner, health will rapidly deteriorate and death may follow shortly thereafter.
","4-4。如果发生严重伤害，立即找到或工艺绷带并使用它们愈合。如果这不是在权宜之计的方式进行的，则健康将迅速恶化，此后可能会迅速地延续。
";
"*Where possible, create large amounts of crude bandages while reserving Medkits for only dire situations.","*在可能的情况下，在储存Medickit的情况下，才能营造大量的原油绷带。";
"*Medkits can save your life when experiencing severe wounds.","* Medkits在体验严重的伤口时可以挽救你的生活。";
"Navigation","导航";
"5-1. Navigating through the Gliese 581 System can be both enthralling and frightening. But basic navigation shouldn’t be confusing.

5-2. The Locator provided for the Osiris Mission is an extremely helpful navigational tool. Equipping the locator will reveal the terrain’s topography, names of discovered areas, locations of resources (as indicated by icons), as well as longitude and latitude. Metallic objects will appear on your Locator, as well as your structures.

5-3. Longitude: Longitude is the designated coordinate that identifies the east-west position of a point on the planets terrain. 

5-4. Latitude: Latitude is the designated coordinate that identifies the north-south position of a point on the planets terrain.

5-5. Compass: Your compass is shown in the Top Middle of your display and indicates your direction along with any primary structures you own.
","5-1。通过Gliese 581系统导航可能是令人着迷和可怕的。但基本导航不应该混淆。

5-2。为Osiris Mission提供的定位器是一个非常有用的导航工具。装备定位器将揭示地形的地形，发现区域的名称，资源位置（如图标所示），以及经度和纬度。金属物体将出现在您的定位器上，以及您的结构。

5-3。经度：经度是指定坐标，其识别行星地形上的点的东西位置。

5-4。纬度：纬度是标识行星地形上的点南北位置的指定坐标。

5-5。指南针：您的罗盘显示在显示屏的顶部中间，并指示您的方向以及您拥有的任何主要结构。
";
"*Locator will give you positional coordinates on your current planet and can help find natural resources.","*定位器将为您的目前的星球提供位置坐标，并可以帮助找到自然资源。";
"DATA NOT AVAILABLE
","数据不可用
";
"Tools","工具";
"Artillery","炮兵";
"Combat Tactics","战斗策略";
"6-1. When exploring and crafting, different tools will be useful in accomplishing various tasks. Tools do not have infinite usage and will wear down over time. It is imperative to repair tools when necessary and/or craft new ones as needed. The rate of decay varies from tool to tool. Some tools will require recipes and specific resources, obtainable only by mining or harvesting them, in order to be crafted. Most tools are only useful for mining, though there are a couple that may be used in combat. These are referred to as hybrid tools.

6-2. Keep in mind that not all tools are able to be obtained right from the start. Some tools will only become available as progress is made and skill points are acquired.","6-1。在探索和制作时，不同的工具将在实现各种任务方面很有用。工具没有无限的用法，随着时间的推移会磨损。必要时修理工具和/或根据需要制作新的。衰减速度因工具而异。一些工具需要食谱和特定资源，只能通过采矿或收获它们来获得，以便制作。大多数工具仅适用于挖掘，尽管有一对可能用于战斗的夫妇。这些被称为混合工具。

6-2。请记住，并非所有工具都能够从一开始就获得。某些工具只会在取得的进展中获得可用，并且获得技能点。";
"*Chisel can be used to break down minerals.","*凿子可用于分解矿物质。";
"*Shovel can gather loose materials like sand.","*铲子可以像沙子一样收集宽松的材料。";
"6-3. Artillery can be used to protect against indigenous creatures and human threats.  There are several different types of weapons available for use, not all of them available immediately. Which weapons are initially given depends on chosen class: Marine, Scientist, Ranger, or Engineer. There are two main categories of artillery, Melee and Ranged. Each weapon sustains and gives different levels of damage, depending on ammo and weapon type.","6-3。炮兵可用于防止土着生物和人类威胁。有几种不同类型的武器可供使用，并非所有类型的武器立即可用。最初给予哪些武器取决于所选择的类：海洋，科学家，游侠或工程师。有两大类炮兵，近战和远程。根据弹药和武器类型，每个武器都能维持和给予不同的损坏程度。";
"*For ranged weapons be mindful of ammunition reserves.","*对于远程武器，请注意弹药储备。";
"*Melee weapons take a lot of punishment and frequently need to be repaired.","*近战武器采取了很大的惩罚，经常需要修复。";
"6-4. Strategy is a key component to surviving Gliese 581 and all that it encompasses. Remaining vigilant at all times and keeping an eye on the horizon is of dire importance. Threats to safety come not only in the form of environmental events, but also indigenous creatures and even other humans. Be prepared. Keep weapons at the ready and fully stocked with ammunition. In some cases, the best tactic is actually fleeing as quickly as possible. Tactics will change on a case by case basis and require critical thinking as well as quick reflexes.","6-4。策略是幸存的辉煌581和它所包含的关键组成部分。始终保持警惕，并留在地平线上的重要性。对安全的威胁不仅以环境事件的形式而言，而且是土着生物甚至其他人类。准备好。保持武器准备好并充分利用弹药。在某些情况下，最好的策略实际上可以尽快逃离。策略将根据具体情况进行改变，需要批判性思维以及快速反射。";
"Comms Feed","Comms Feed.";
"Locating Personnel","找到人员";
"Colony Development","殖民地发展";
"7-1. Proper and meaningful communication is extremely valuable and an important tool when exploring the Gliese 581 System. That’s where the Communication Feed is a helpful tool. To access the Communication Feed, press ENTER and then one of the chat commands as needed. 

Chat Commands are as follows:
[TAB] Cycle Available Channels
[/g] Global Channel
[/l] Local Channel
[/c] Colony Channel
[/p] Party Channel
[/w] Whisper Channel
[/r] Reply to previous Whisper
[/ix] Ignore Channel x
[/ux] Unignore Channel x
[/ping] Toggle Audio Ping
[/ompa help] O.M.P.A. Commands
","7-1。适当和有意义的沟通是非常有价值的，并且在探索Gliese 581系统时是一个重要的工具。这就是通信源是有用的工具的地方。要访问通信源，请按Enter键按Enter键，然后按照需要进行其中一个聊天命令。

聊天命令如下：
[标签]循环可用频道
[/ g]全球频道
[/ l]地方渠道
[/ c]殖民地渠道
[/ p]党频道
[/ w]耳语渠道
[/ r]回复以前的耳语
[/ ix]忽略通道x
[/ ux] Unignore Channel X
[/ ping]切换音频ping
[/ OMA帮助] O.M.P.A.命令
";
"DATA NOT AVAILABLE 
","数据不可用
";
"7-2. Locating other personnel within the Gliese 581 System can greatly increase the chance of survival. That’s why it’s key to constantly be on the look out for others roaming the foreign terrain. 

7-3. One way to locate Personnel is through the Communication Feed located in the upper left-hand corner of your HUD. To access this helpful tool, press ENTER and then locate the appropriate channel you wish to chat in. Once communication with other personnel has been achieved, share the current coordinates and wait until they arrive at the location. 

7-4. Another way to locate personnel is through the use of the Flare Gun. For those times when communication is down or not working, simply equip the flare gun, point it towards the sky, and fire. This will alert any other personnel within the vicinity. 
","7-2。在辉光581系统中定位其他人员可以大大增加生存的机会。这就是为什么它是不断关注的是，因为漫游的别人漫游国外地形。

7-3。找到人员的一种方法是通过位于HUD的左上角的通信饲料。要访问此有用的工具，请按Enter，然后找到您希望聊天的相应频道。一旦与其他人员进行了通信，共享当前坐标并等待他们到达位置。

7-4。找到人员的另一种方法是通过使用喇叭口枪。对于那些时候沟通已经下降或不工作时，只需装备喇叭口枪，将它指向天空，火。这将提醒附近的任何其他人员。
";
"*Flares can be used to locate personnel.","*耀斑可用于定位人员。";
"7-5. U.N.E. operatives may find themselves coming into contact with other personnel. In these situations, these personnel can group up by either setting up a party or colony. 

7-6. Setting Up A Party: For the personnel creating a party, they need to walk up to the other operative, look at them, and then press [F] to invite. The personnel joining the party must then look and the inviter and then click [ACCEPT] in the menu.
","7-5。 U.N.E.操作员可能会发现自己与其他人员联系。在这些情况下，这些人员可以通过建立派对或殖民地进行分组。

7-6。设置派对：对于创建派对的人员，他们需要走到另一个手术，看看它们，然后按[F]邀请。然后，加入一方的人员必须查看和Inver，然后单击菜单中的[接受]。
";
"7-5. U.N.E. operatives may find themselves coming into contact with other personnel. In these situations, these personnel can group up by either setting up a party or colony. 

7-6. Setting Up A Party: For the personnel creating a party, they need to walk up to the other operative, look at them, and then press [F] to invite. The personnel joining the party must then look and the inviter and then click [ACCEPT] in the menu.

7-7. Setting Up A Colony: A colony is a territory at a specific location on a planet or moon, claimed and controlled by at least one personnel. Personnel can automatically claim a territory when placing a structure on unclaimed ground. This colony can be joined by other personnel when it has been officially created. Creating a colony can be done by following the steps below:

Click on ‘Create Colony.’
Add other personnel by using the multi tool. Please note that personnel have to belong to the same faction in order to join a colony.

Adding other personnel to an existing colony automatically gives them access to anything that is built or crafted after they joined. In order to give them access to previously built/crafted objects, the creator of the colony needs to give access manually using the multi-tool on each object (make public to colony).","7-5。 U.N.E.操作员可能会发现自己与其他人员联系。在这些情况下，这些人员可以通过建立派对或殖民地进行分组。

7-6。设置派对：对于创建派对的人员，他们需要走到另一个手术，看看它们，然后按[F]邀请。然后，加入一方的人员必须查看和Inver，然后单击菜单中的[接受]。

7-7。建立殖民地：殖民地是一个地球或月球上的特定位置的领土，声称和控制至少一个人员。人员可以在将结构放在无人认领的地面上时自动索赔一个领域。当它被正式创建时，这种殖民地可以通过其他人员加入。可以通过以下步骤完成殖民地：

点击“创建殖民地”。
使用多工具添加其他人员。请注意，人员必须属于同一派系，以加入殖民地。

将其他人员添加到现有的殖民地中自动让他们访问他们加入后的内置或制作的任何内容。为了让他们访问先前构建/制作的对象，群体的创建者需要使用每个对象的多工具手动访问（公开到殖民地）。“";"
#VALUE!
"Access to utilities","访问公用事业";
",MISSING_TRANSLATION;","，遗漏_转移;“";
"7. Commuinications","7.讨论所";
"Basic Shelter","基本避难所";
"Habitat System","栖息地系统";
"Maintenance","维护";
"8-1. Creating some form of shelter is in the best interest of survival.

8-2. Upon exiting the pod, an Inflatable Dome will be provided, however, this type of shelter has a short time decay and only offers temporary sanctuary from the harsh environment. Creating a much sturdier shelter should be at the top of the priority list. ","8-1。创造某种形式的避难所是生存的最佳利益。

8-2。在离开豆荚时，将提供一种充气圆顶，然而，这种类型的庇护所具有短暂的时间衰减，并且仅提供来自恶劣环境的临时避难所。创建一个非常强大的避难所应该是优先级列表的顶部。";
"*When Inflatable Dome is not available, create shelter from found materials.","*当无法充气圆顶不可用时，从发现的材料创建避难所。";
"8-3. Habitats are based on a modular system of building. Once a habitat is created, adding an airlock will allow for pressurization of the structure. Custom walls make habitats more expansive and personalized. Interconnecting habitats is possible with the incorporation of hallways. Building multilevel structures is also possible, but will require the addition of an elevator.
","8-3。栖息地基于模块化建筑系统。创建栖息地后，添加气闸将允许对结构的加压。定制墙使栖息地更广泛和个性化。随着走廊的合并，可以进行互连栖息地。建筑多级结构也是可能的，但需要添加电梯。
";
"*Modular HAB system building is the foundation of all Osiris Mission Colony settlements.","*模块化HAB系统建筑是所有奥西里斯使命殖民地定居点的基础。";
"*Airlock is needed for pressurized HABs.","加压疾病需要*需要气闸。";
"*Hallways join HABs and other structures.","*走廊加入HAB和其他结构。";
"*Add mutliple levels by stacking HABs with the Upper Story attachment.","*通过堆放骨骼堆积的鞋底添加Mutliple水平。";
"*Barracks can contain special furniture equipment.","* Barracks可以包含特殊的家具设备。";
"8-4. Utilities are functional elements that generate air, electricity, and other essentials. Some of these items include: Storage units, Fabricator, Forges, Crafting Tables. In order to craft or build certain utilities, materials must be obtained and required skills must be unlocked. Certain items can also be found in the game by exploring, like batteries, wires, heavy machine gun.Items such as regular bandages and Medkits are able to be crafted using a 3D Printer or Fabricator.

8-5. The ability to craft water in an empty glass jar is possible upon the accumulation of Oxygen & Hydrogen. A Water Reclaimer unit built inside a Habitat will also allow for quenching thirst every few minutes.","8-4。公用事业是产生空气，电力和其他必需品的功能元素。其中一些项目包括：存储单元，制造商，伪造，制作表。为了制作或建立某些实用程序，必须获得材料，必须解锁所需技能。某些物品也可以通过探索电池，电线，重型机枪。诸如常规绷带和Medkits等诸如常规绷带或Medkits的游戏中的某些物品能够使用3D打印机或制造商进行制作。

8-5。在氧气和氢气的积累后，可以在空玻璃罐中加工水的能力。内部栖息地内置的水收送货机单元也将允许每隔几分钟慢慢淬火。“";
",MISSING_TRANSLATION;","，遗漏_转移;“";
"*Storage containers are essential to keeping large amounts of materials safe.","*存储容器对于保持大量材料安全是必不可少的。";
"*Crafting Utilities such as the 3D Printer can create small useful items.","*制作3D打印机等实用程序可以创建小的有用项目。";
"*Smelting equipment is necessary for melting down minerals for structure building and item crafting.","*熔炼设备对于熔化结构建筑和物品制作的矿物来说是必要的。";
"8-6. Structures are the constituent elements of the colony. Built on essentially a grid, the different components can be snapped together to create large colony complexes for growing food, research, and mutual survival. The current maximum for structures on a single planet is 200, or 20 per player. Aside from Habitats and Huts, there are a many other structures that can be built such as a Biodome, Laboratory, Furniture, Custom Wall Pieces and Utilities.
","8-6。结构是殖民地的组成元素。基本上建立了一个网格，可以将不同的组件粘贴在一起，为生长食品，研究和相互生存来创造大型殖民地复合物。单个行星上的结构的最大值为200，或每个玩家20。除了栖息地和小屋之外，还有许多其他结构可以建造，如生物组，实验室，家具，定制墙壁和公用事业。
";
"*Biodome are perfect for cultivating food reserves.","*生物组织非常适合培养食物储备。";
"*Specialty furniture equipment in the HAB can be extremely useful.","* HAB中的特色家具设备非常有用。";
"*Solar panels must be used to power structures and utilities.","*太阳能电池板必须用于电源结构和实用程序。";
"*Create unique structures with custom prefabs.","*创建具有自定义预制的唯一结构。";
"*Laboratory is a factory system that can build vehicles and robots.","*实验室是一个工厂系统，可以建造车辆和机器人。";
"8-7. To keep structures, vehicles and other important elements in proper working order, performing regular maintenance is necessary. Maintenance can be performed with the Multi-Tool. This is an indestructible tool used for repairing damaged structures, walls vehicles and droids.
","8-7。为了保持结构，车辆和其他重要元素，需要进行定期维护。可以使用多工具执行维护。这是一种用于修复损坏的结构，墙壁车辆和机器人的可凹部工具。
";
"*OMPA can be programmed to auto repair your colony structures.","* OMP可以编程为自动修复您的殖民地结构。";
"*Repair your structures and equipment with the Multi-Tool.","*使用多工具修复您的结构和设备。";
"Driver Training","司机培训";
"Planning for Space","规划空间";
"Space Travel","太空旅行";
"Space Walking","太空走路";
"9-1. Vehicles allow for rapid transportation across large distances, moving resources and more. There are two different types of vehicles<semicolon> hovering and wheeled. The durability, speed and maneuverability varies depending on the type of vehicle. They can be built using the Laboratory. Each type of vehicle will require different resources in order to craft.

9-2. Default Vehicle Controls:
Enter the vehicle - F key.
Directional Maneuvers - WASD keys.
Exit the vehicle -  F key.

9-3. Please Note:
- In certain vehicles, hold the shift key will activate a boost that uses a large amount of fuel to gain additional speed.

- When in third person view, it is possible to look left or right while driving.

- The Ground Assault Vehicle has the capacity for an an additional passenger who may control the turret.
","9-1。车辆允许跨越大距离，移动资源等快速运输。有两种不同类型的车辆<分号>悬停和轮式。耐用性，速度和机动性因车辆类型而异。它们可以使用实验室建造。每种类型的车辆都需要不同的资源以进行工艺。

9-2。默认车辆控制：
进入车辆​​ -  F键。
定向演动 -  WASD键。
退出车辆 -  F键。

9-3。请注意：
 - 在某些车辆中，保持换档键将激活使用大量燃料来获得额外速度的升压。

 - 在第三人称视图时，驾驶时可以左右抬头。

 - 地面攻击车有一个可以控制炮塔的额外乘客的能力。
";
"9-3. Before journeying out, prepare accordingly. Be sure that the vehicle used for operation is adequately fueled and in good working order. Check water and food supply to make certain that there is enough to sustain for the journey ahead. Bring any necessary resources and supplies that may be needed while away from the base.
","9-3。在旅行之前，请准备好。确保用于操作的车辆充分燃料，并以良好的工作顺序。检查水和食品，以确保有足够的追随前方的旅程。带来可能需要的任何必要资源和物资，而远离基地。
";
"9-4. Spaceships have a translational life that require a large amount of fuel when leaving the atmosphere. Prepare accordingly. Once in orbit, lack of gravity and friction allow for less fuel consumption. The following controls are used for operation of the Spaceship:

9-5. Default surface controls while flying:
Start the ship and accelerate - LMB
Land and deccelerate - RMB
Directional maneuvers - WASD keys from wherever the mouse is currently pointed.
","9-4。宇宙飞船具有在离开大气时需要大量燃料的平移生活。相应地准备。一旦进入轨道，缺乏重力和摩擦允许较少的燃料消耗。以下控件用于宇宙飞船的操作：

9-5。飞行时默认的表面控制：
启动船舶并加速 -  LMB
土地和食品 - 人民币
定向演动 - 从目前指向鼠标的任何地方都是ked键。
";
"9-7. The E.V.A. Suit has been designed to allow for prolonged Space Walks. Personnel may find themselves in a predicament where they need to leave their space station or ship and begin space walking. The default controls for space walking are as follows: 

Move Forward - W Key
Move Backward - S Key
Strafe Left - A Key
Strafe Right - D Key
Move Upward - Spacebar Key
Move Downward - Left Control Key
Orient to Camera - Right Mouse Button
Boost - Left Shift Key
","9-7。 E.V.A.套装旨在允许长时间的空间走路。人员可能会发现自己在困境中，他们需要离开他们的空间站或船舶并开始空间走。空间行走的默认控件如下：

前进 -  W键
向后移动 -  S键
strafe左 - 一个钥匙
strafe右 -  d键
向上移动 - 空格键键
向下移动 - 左控制键
定向到相机 - 鼠标右键
升压 - 左移键
";
"9-8. Vehicles will require reparations and regular maintenance. The Multi Tool can be used to repair vehicles. Be sure to refuel each vehicle on a consistent basis. Refueling is performed by using the container that holds fuel. When prompted, press the [F] key.
","9-8。车辆需要赔偿和定期维护。多工具可用于修理车辆。务必以持续的方式加油。通过使用容纳燃料的容器进行加油。出现提示时，按[F]键。
";
"9. Vehicle Piloting and Aeronotics","9.车辆试点和机器人";
"Steering Behaviors","转向行为";
"Mining","矿业";
"Repairing","修复";
"10-1. The Osiris Mission Personal Assistant (O.M.P.A.) was developed to assist field personnel with their active duties on alien planets. Each O.M.P.A. has been installed with a set of upgradeable algorithms that include navigation, repair, mining, and self defense.

10-2. Follow: Activating the Follow procedure engages the O.M.P.A. unit to trail personnel. This will keep the unit nearby to provide assistance when needed.

10-3. Flank: Activating the Flank procedure engages the O.M.P.A. unit to lead. This maneuver is ideal for guarding personnel from oncoming attacks. The O.M.P.A. is also equipped with high tech sensors that can spot danger quickly and engage the threat before it gets nearby.

10-4. Engage (Passive): If the necessary upgrades have been installed, the O.M.P.A. unit will automatically engage hostile threats to protect human personnel from injuries and prevent structural damage.

10-5. Repair: Activating the Repair procedure engages the O.M.P.A. unit to patrol a specified area and repair any owned structures that have accrued any damage.

10-6. Mine: Activating the Mine procedure engages the O.M.P.A. unit to patrol a specified area and mine any valuable resources. If the necessary upgrades have been installed, the unit will also be able to detect nearby storage units and unload the collected materials.

10-7. Summon (Experimental): Each O.M.P.A. has been equipped with a newly discovered mineral that has been found to contain manipulatable quantum properties. The material has been harnessed to allow the unit to teleport when the Summon procedure is activated. Using this feature comes at a cost, in order to provide the necessary energy to activate the reaction, a large amount of power is drained from the battery power source.","10-1。 Osiris使命个人助理（O.M.P.A.）是制定的，以协助其在外星人行星上的现场工作人员。每个O.M.P.A.已安装一组可升级算法，包括导航，修理，采矿和自卫。

10-2。遵循：激活以下步骤聘请O.M.P.A.单位到赛车人员。这将使该单元在需要时提供帮助。

10-3。侧翼：激活侧翼手术从事O.M.P.A.单位领导。这种机动非常适合从迎面而来的攻击中保护人员。 O.M.P.A.还配备了高科技传感器，可以快速发现危险并在附近造成威胁。

10-4。聘用（被动）：如果已经安装了必要的升级，则O.M.P.A.单位将自动参与敌对威胁，以保护人类人员免受伤害，防止结构损伤。

10-5。修复：激活修理程序聘请O.M.P.A.单位巡逻指定的区域并修复任何累积的损坏的所有结构。

10-6。矿井：激活矿山程序从事O.M.P.A.单位巡逻一个指定的区域并挖掘任何有价值的资源。如果已安装必要的升级，则该装置还将能够检测附近的存储单元并卸载收集的材料。

10-7。召唤（实验）：每个O.M.P.A.已经配备了新发现的矿物质，已被发现含有可操纵的量子特性。已经利用该材料以允许单位在召唤过程被激活时传送。使用该特征以成本为本，为了提供激活反应的必要能量，从电池电源中排出大量功率。";
"10-8. The O.M.P.A. has been programmed for mining valuable resources scattered across the various terrains of the GLiese 581 System. Activating the Mine procedure engages the O.M.P.A. unit to patrol a specified area, mine, and if upgraded with the necessary components, detect nearby storage units and unload the collected resources.
","10-8。 O.M.P.A.已编程用于挖掘散落在辉煌581系统各种地形的宝贵资源。激活矿山程序从事O.M.P.A.单位巡逻一个指定的区域，矿山，以及使用必要的组件升级，检测附近的存储单元并卸载收集的资源。
";
"10-9. The O.M.P.A. has been programmed to provide assistance to injured personnel and repair structural damage while patrolling is assigned coordinates. 
","10-9。 O.M.P.A.已被编程为在巡逻坐标巡逻时提供对受伤人员和修复结构损坏的援助。
";
"10-10. The O.M.P.A. has been programmed to target and engage in combat if equipped with the necessary upgrades. Once achieved the O.M.P.A. will be armed and ready to protect and automatically engage hostile threats.
","10-10。 O.M.P.A.如果配备必要的升级，已被编程为瞄准并参与战斗。曾经达到了O.M.P.A.将被武装并准备保护并自动聘请敌对威胁。
";
"10-11. The O.M.P.A. unit requires periodical repair and battery maintenance. When engaging in combat the O.M.P.A. can sustain damage that requires repair. If this occurs, personnel must equip the repair tool and use it on the O.M.P.A. to return it to a working condition. If the O.M.P.A. suffers from battery depletion, it will remain in the same location it lost power. To fix, simply equip a new battery and install in into the O.M.P.A.
","10-11。 O.M.P.A.单位需要定期维修和电池维护。当参与战斗时的O.M.P.A.可以维持需要修理的损坏。如果发生这种情况，人员必须装备修复工具并在O.M.P.A上使用它。将其退回工作条件。如果是O.M.P.A.遭受电池耗尽，它将保持在损失的位置。要修复，只需装备新电池并安装进入O.M.P.A.
";
"10. Osiris Mission Personal Assistant Manual","10. Osiris Mission个人助理手册";
"Alien Plant","外星植物";
"Blunt Object","钝器";
"Slashing Tool","削减工具";
"Sharp Weapon","锋利的武器";
"Surgical Tool","手术工具";
"Extracting Tool","提取工具";
"Discoveries","发现";
"[A] MISSIONS","[a]任务";
"SKILLS [D]","技能[D]";
"[A] DISCOVERIES","[a]发现";
"INVENTORY [D]","库存[D]";
"Bug Report / Feedback","错误报告/反馈";
"Menu","菜单";
"Settings","设置";
"Force Kill","迫使杀戮";
"Report Player","报告玩家";
"Main Menu","主菜单";
"Exit Game","出口游戏";
"Players","玩家";
"Player Name...","选手姓名...";
"Avatar Name...","头像名称......";
"Cheating","欺诈";
"Additional Comments...","附加评论...";
"Submit","提交";
"Menu Options","菜单选项";
"[A] SKILLS","[A]技能";
"Feedback","反馈";
"Enter feedback here (optional)","在此处输入反馈（可选）";
"General Feedback","一般反馈";
"Gameplay / Balancing","游戏/平衡";
"Bug / Tech Issue / Frame Rate","错误/技术问题/帧率";
"Feature Request","功能要求";
"Include Screenshot","包括截图";
"All is good, just giving feedback","一切都很好，只是提供反馈";
"This is kind of serious","这是一个严重的";
"This is stopping gameplay","这是停止游戏";
"Missions | Logs | Blueprints","任务|日志|蓝图";
"Mission 1 - Explore Proteus 2","任务1  - 探索Proteus 2";
"Now that I've gotten a foothold on this planet, I should explore and see if I can regroup with the Phoenix Team. ([F3] will open up the GPS, your suit has a radar installed that will allow for Basic Scanning. [NUM +] and [NUM -] to change the zoom of the map.)","现在我已经在这个星球上立足了，我应该探索，看看我是否可以与菲尼克斯团队一起重新组合。 （[F3]将打开GPS，您的西装安装了一个雷达，允许基本扫描。[Num +]和[Num  - ]更改地图的缩放。）";
"Mission 2 - N/A","任务2  -  n / a";
"Activate new mission in Mission Menu","在任务菜单中激活新任务";
"Mission 3 - N/A","任务3  -  n / a";
"Encrypted Disks","加密磁盘";
