"English","русский";
"4-2. Dehydration happens when your body doesn't have as much water as it needs. Without enough, your body can't function properly. You can have mild, moderate, or severe dehydration depending on how much fluid is missing from your body. Avoid becoming dehydrated by checking the suit reading on hydration level (located in the lower left-hand corner.) Replenish and consume fluids on a regular basis. When temperatures rise due to weather conditions, decreasing internal suit temperature may become necessary to avoid dehydration and even fatality.

Food can be a source of hydration if a Chem Station to create water is not available.","4-2. Обезвоживание происходит, когда у вашего тела нет столько воды, сколько нужно. Достаточно, ваше тело не может функционировать должным образом. Вы можете иметь мягкую, умеренное или серьезное обезвоживание в зависимости от того, насколько жидкости отсутствует от вашего тела. Избегайте превращения в обезвоживание, проверяя чтение костюма на уровне гидратации (расположено в нижнем левом углу.) Пополните и потребляйте жидкости на регулярной основе. Когда температура поднимается из-за погодных условий, уменьшение температуры внутреннего костюма может стать необходимым, чтобы избежать обезвоживания и даже смертельной болезни.

Еда может быть источником гидратации, если камерная станция для создания воды недоступна.";
"4-3. It is very likely that minor injuries will occur when in combat against indigenous creatures, during missions, or even performing regular tasks. Suit breaches are the most common type of minor injury. If a suit breach occurs, use patch type to repair as soon as is possible.
","4-3. Очень вероятно, что незначительные травмы произойдут при борьбе с коренным существами, во время миссий или даже проводить регулярные задачи. Костюм нарушения являются наиболее распространенным типом незначительных травм. Если возникает нарушение костюма, используйте тип исправления для ремонта, как только возможно.
";
"*Bandages can heal minor wounds.","* Бинты могут исцелить небольшие раны.";
"*If on a planet with foliage species, attempt to create crude bandages when out of manuafactured bandage reserves.","* Если на планете с видами листвы, попытайтесь создать неочищенные повязки, когда изготовлены изготовленные повязки резервов.";
"4-4. In the event a severe injury occurs, immediately find or craft bandages and use them to heal. If this is not done in an expedient manner, health will rapidly deteriorate and death may follow shortly thereafter.
","4-4. В случае возникновения серьезных травм, немедленно найдите или ремеслены повязки и используйте их для лечения. Если это не сделано целесообразным, здоровье быстро ухудшится, а смерть может следовать в ближайшее время после этого.
";
"*Where possible, create large amounts of crude bandages while reserving Medkits for only dire situations.","* Что возможно, создайте большое количество неочищенных повязков во время резервирования медекит для только тяжелых ситуаций.";
"*Medkits can save your life when experiencing severe wounds.","* Медикиты могут спасти вашу жизнь при испытывании тяжелых ран.";
"Navigation","Навигация";
"5-1. Navigating through the Gliese 581 System can be both enthralling and frightening. But basic navigation shouldn’t be confusing.

5-2. The Locator provided for the Osiris Mission is an extremely helpful navigational tool. Equipping the locator will reveal the terrain’s topography, names of discovered areas, locations of resources (as indicated by icons), as well as longitude and latitude. Metallic objects will appear on your Locator, as well as your structures.

5-3. Longitude: Longitude is the designated coordinate that identifies the east-west position of a point on the planets terrain. 

5-4. Latitude: Latitude is the designated coordinate that identifies the north-south position of a point on the planets terrain.

5-5. Compass: Your compass is shown in the Top Middle of your display and indicates your direction along with any primary structures you own.
","5-1 Навигация через систему GLEYE 581 может быть оба увядать и пугающим. Но базовая навигация не должна быть запутана.

5-2. Локатор, предоставленный для Mission Mission, является чрезвычайно полезным навигационным инструментом. Оснащение локатора раскроет топографию местности, названия открытых районов, расположении ресурсов (как указано иконы), а также долгота и широта. Металлические объекты появятся в вашем локаторе, а также ваши структуры.

5-3. Долгота: долгота - это назначенная координата, которая определяет позицию Востока-Запада точки на планетах местности.

5-4. Широта: широта - это назначенная координата, которая определяет позицию Север-Юг очко на территории планет.

5-5. Компас: Ваш компас отображается в верхней середине вашего дисплея и указывает на ваше направление вместе с любыми собственными основными структурами.
";
"*Locator will give you positional coordinates on your current planet and can help find natural resources.","* Locator даст вам позиционные координаты на вашей нынешней планете и могут помочь найти природные ресурсы.";
"DATA NOT AVAILABLE
","Данные не доступны
";
"Tools","Инструменты";
"Artillery","Артиллерия";
"Combat Tactics","Боевая тактика";
"6-1. When exploring and crafting, different tools will be useful in accomplishing various tasks. Tools do not have infinite usage and will wear down over time. It is imperative to repair tools when necessary and/or craft new ones as needed. The rate of decay varies from tool to tool. Some tools will require recipes and specific resources, obtainable only by mining or harvesting them, in order to be crafted. Most tools are only useful for mining, though there are a couple that may be used in combat. These are referred to as hybrid tools.

6-2. Keep in mind that not all tools are able to be obtained right from the start. Some tools will only become available as progress is made and skill points are acquired.","6-1 При изучении и создании разные инструменты будут полезны в выполнении различных задач. Инструменты не имеют бесконечного использования и будут носить со временем. Крайне важно отремонтировать инструменты при необходимости и / или ремесла новых по мере необходимости. Скорость распада варьируется от инструмента для инструмента. Некоторые инструменты потребуют рецепты и конкретные ресурсы, доступные только добыча добычи или сбора их, чтобы быть созданы. Большинство инструментов полезны только для добычи полезных ископаемых, хотя есть пара, которая может использоваться в бою. Они называются гибридными инструментами.

6-2. Имейте в виду, что не все инструменты могут быть получены прямо с самого начала. Некоторые инструменты станут доступен только по мере прогресса, и очки навыков приобретены.";
"*Chisel can be used to break down minerals.","* Chisel можно использовать для разрыва минералов.";
"*Shovel can gather loose materials like sand.","* Shovel может собрать свободные материалы, такие как песок.";
"6-3. Artillery can be used to protect against indigenous creatures and human threats.  There are several different types of weapons available for use, not all of them available immediately. Which weapons are initially given depends on chosen class: Marine, Scientist, Ranger, or Engineer. There are two main categories of artillery, Melee and Ranged. Each weapon sustains and gives different levels of damage, depending on ammo and weapon type.","6-3. Артиллерия может быть использована для защиты от коренных существ и человеческих угроз. Есть несколько различных видов оружия, доступных для использования, не все они доступны немедленно. Какое оружие первоначально дано, зависит от выбранного класса: морской, ученый, рейнджер или инженер. Есть две основные категории артиллерий, ближнего боя и колебания. Каждое оружие поддерживает и дает разные уровни повреждений, в зависимости от типа боеприпасов и оружия.";
"*For ranged weapons be mindful of ammunition reserves.","* Для оружия варьированного оружия помните о запасах боеприпасов.";
"*Melee weapons take a lot of punishment and frequently need to be repaired.","* Оружие ближнего боя занимает много наказаний и часто нужно отремонтировать.";
"6-4. Strategy is a key component to surviving Gliese 581 and all that it encompasses. Remaining vigilant at all times and keeping an eye on the horizon is of dire importance. Threats to safety come not only in the form of environmental events, but also indigenous creatures and even other humans. Be prepared. Keep weapons at the ready and fully stocked with ammunition. In some cases, the best tactic is actually fleeing as quickly as possible. Tactics will change on a case by case basis and require critical thinking as well as quick reflexes.","6-4. Стратегия - это ключевой компонент для выживания GLEYE 581, и все, что оно охватывает. Остальные бдительны во все времена и следить за горизонтом ужасного значения. Угрозы безопасности приходят не только в форме экологических событий, но и коренных народов и даже других людей. Будь готов. Держите оружие на готовом и полностью укомплектованном боеприпасами. В некоторых случаях лучшая тактика фактически бегает как можно быстрее. Тактика изменится в каждом конкретном случае и требует критического мышления, а также быстрых рефлексов.";
"Comms Feed","Comms Feed.";
"Locating Personnel","Расположение персонала";
"Colony Development","Развитие колонии";
"7-1. Proper and meaningful communication is extremely valuable and an important tool when exploring the Gliese 581 System. That’s where the Communication Feed is a helpful tool. To access the Communication Feed, press ENTER and then one of the chat commands as needed. 

Chat Commands are as follows:
[TAB] Cycle Available Channels
[/g] Global Channel
[/l] Local Channel
[/c] Colony Channel
[/p] Party Channel
[/w] Whisper Channel
[/r] Reply to previous Whisper
[/ix] Ignore Channel x
[/ux] Unignore Channel x
[/ping] Toggle Audio Ping
[/ompa help] O.M.P.A. Commands
","7-1 Правильное и значимое общение чрезвычайно ценно и важным инструментом при изучении системы GLIESE 581. Вот где канал связи является полезным инструментом. Чтобы получить доступ к корму на связи, нажмите Enter, а затем один из команд чата по мере необходимости.

Команды чата следующие:
[Вкладка] Цикл Доступные каналы
[/ g] Глобальный канал
[/ l] локальный канал
[/ c] Colony Channel
[/ p] Партийный канал
[/ W] Whisper Channel
[/ R] Ответ на предыдущий шепот
[/ ix] игнорировать канал х
[/ ux] Неответренный канал х
[/ ping] переключить аудио пинг
[/ OMPA HELP] O.M.P.A. Команды
";
"DATA NOT AVAILABLE 
","Данные не доступны
";
"7-2. Locating other personnel within the Gliese 581 System can greatly increase the chance of survival. That’s why it’s key to constantly be on the look out for others roaming the foreign terrain. 

7-3. One way to locate Personnel is through the Communication Feed located in the upper left-hand corner of your HUD. To access this helpful tool, press ENTER and then locate the appropriate channel you wish to chat in. Once communication with other personnel has been achieved, share the current coordinates and wait until they arrive at the location. 

7-4. Another way to locate personnel is through the use of the Flare Gun. For those times when communication is down or not working, simply equip the flare gun, point it towards the sky, and fire. This will alert any other personnel within the vicinity. 
","7-2. Расположение другого персонала в системе GLIESE 581 может значительно увеличить вероятность выживания. Вот почему это ключ к постоянному ощущению для других, бродиющих на иностранную местность.

7-3. Один из способов поиска персонала проходит через корм для связи, расположенную в верхнем левом углу вашего HUD. Чтобы получить доступ к этому полезному инструменту, нажмите Enter, а затем найдите соответствующий канал, который вы хотите поболтать. После достижения общения с другим персоналом добились, поделитесь текущими координатами и подождите, пока они не прибудут на местоположение.

7-4. Еще один способ найти персонал проходит через использование фонари. На те времена, когда общение снижается или не работает, просто оснастите пистолет, указывайте на небо и огонь. Это предупредит любой другой персонал в пределах до ближайшего достопримечательности.
";
"*Flares can be used to locate personnel.","* Flares можно использовать для определения местонахождения персонала.";
"7-5. U.N.E. operatives may find themselves coming into contact with other personnel. In these situations, these personnel can group up by either setting up a party or colony. 

7-6. Setting Up A Party: For the personnel creating a party, they need to walk up to the other operative, look at them, and then press [F] to invite. The personnel joining the party must then look and the inviter and then click [ACCEPT] in the menu.
","7-5. U.n.e. Оперативники могут оказаться в контакте с другим персоналом. В этих ситуациях этот персонал может сгруппировать либо настраивая вечеринку или колонию.

7-6. Настройка вечеринки: для персонала, создавая вечеринку, им нужно идти по другому оперативному, посмотрите на них, а затем нажмите [F], чтобы пригласить. Персонал, присоединяясь к вечеринке, должен посмотреть и пригласитель, а затем нажмите [Принять] в меню.
";
"7-5. U.N.E. operatives may find themselves coming into contact with other personnel. In these situations, these personnel can group up by either setting up a party or colony. 

7-6. Setting Up A Party: For the personnel creating a party, they need to walk up to the other operative, look at them, and then press [F] to invite. The personnel joining the party must then look and the inviter and then click [ACCEPT] in the menu.

7-7. Setting Up A Colony: A colony is a territory at a specific location on a planet or moon, claimed and controlled by at least one personnel. Personnel can automatically claim a territory when placing a structure on unclaimed ground. This colony can be joined by other personnel when it has been officially created. Creating a colony can be done by following the steps below:

Click on ‘Create Colony.’
Add other personnel by using the multi tool. Please note that personnel have to belong to the same faction in order to join a colony.

Adding other personnel to an existing colony automatically gives them access to anything that is built or crafted after they joined. In order to give them access to previously built/crafted objects, the creator of the colony needs to give access manually using the multi-tool on each object (make public to colony).","7-5. U.n.e. Оперативники могут оказаться в контакте с другим персоналом. В этих ситуациях этот персонал может сгруппировать либо настраивая вечеринку или колонию.

7-6. Настройка вечеринки: для персонала, создавая вечеринку, им нужно идти по другому оперативному, посмотрите на них, а затем нажмите [F], чтобы пригласить. Персонал, присоединяясь к вечеринке, должен посмотреть и пригласитель, а затем нажмите [Принять] в меню.

7-7. Настройка колонии: колония - это территория в определенном месте на планете или луне, заявленной и контролируется хотя бы одним персоналом. Персонал может автоматически претендовать на территорию при размещении структуры на невостребованной земле. Эта колония может быть объединена другим персоналом, когда он был официально создан. Создание колонии можно сделать, следуя следующим шагам:

Нажмите на «Создать колонию».
Добавьте другого персонала, используя Multi Tool. Обратите внимание, что персонал должен принадлежать к той же фракции, чтобы присоединиться к колонии.

Добавление другого персонала в существующую колонию автоматически дает им доступ к тому, что построено или изготовлено после того, как они присоединились. Чтобы дать им доступ к ранее построенным / созданным объектам, создатель колонии должен дать доступ вручную, используя мульти-инструмент на каждом объекте (обнародовать в колонию) ».";"
#VALUE!
"Access to utilities","Доступ к утилитам";
",MISSING_TRANSLATION;",", Smuctle_Translation; »";
"7. Commuinications","7. Совместные коммуникации";
"Basic Shelter","Основное укрытие";
"Habitat System","Система среды обитания";
"Maintenance","Обслуживание";
"8-1. Creating some form of shelter is in the best interest of survival.

8-2. Upon exiting the pod, an Inflatable Dome will be provided, however, this type of shelter has a short time decay and only offers temporary sanctuary from the harsh environment. Creating a much sturdier shelter should be at the top of the priority list. ","8-1 Создание некоторой формы укрытия в интересах выживания.

8-2. После выхода из стручка надувной купол будет предоставлен, однако этот тип укрытия имеет короткое время распада и предлагает временное святилище из суровой среды. Создание большого крерного укрытия должно быть в верхней части списка приоритетов.";
"*When Inflatable Dome is not available, create shelter from found materials.","* Когда надувной купол не доступен, создайте укрытие из найденных материалов.";
"8-3. Habitats are based on a modular system of building. Once a habitat is created, adding an airlock will allow for pressurization of the structure. Custom walls make habitats more expansive and personalized. Interconnecting habitats is possible with the incorporation of hallways. Building multilevel structures is also possible, but will require the addition of an elevator.
","8-3. Место обитания основаны на модульной системе здания. После создания среды обитания добавление шлюза позволит повысить давление структуры. Пользовательские стены делают среды обитания более распространенными и персонализированными. Межсоединение места обитания возможны с включением прихожей. Строительство многоуровневых конструкций также возможно, но потребуется добавление лифта.
";
"*Modular HAB system building is the foundation of all Osiris Mission Colony settlements.","* Модульное здание системы HAB является основой всех населенных пунктов Миссии Осирис.";
"*Airlock is needed for pressurized HABs.","* Коллок необходим для подразделения Habs.";
"*Hallways join HABs and other structures.","* Прихожие соединяются Habs и другие конструкции.";
"*Add mutliple levels by stacking HABs with the Upper Story attachment.","* Добавьте уровни Matliple путем укладки Habs с навесным вложением.";
"*Barracks can contain special furniture equipment.","* Казармы могут содержать специальное мебельное оборудование.";
"8-4. Utilities are functional elements that generate air, electricity, and other essentials. Some of these items include: Storage units, Fabricator, Forges, Crafting Tables. In order to craft or build certain utilities, materials must be obtained and required skills must be unlocked. Certain items can also be found in the game by exploring, like batteries, wires, heavy machine gun.Items such as regular bandages and Medkits are able to be crafted using a 3D Printer or Fabricator.

8-5. The ability to craft water in an empty glass jar is possible upon the accumulation of Oxygen & Hydrogen. A Water Reclaimer unit built inside a Habitat will also allow for quenching thirst every few minutes.","8-4. Утилиты являются функциональными элементами, которые генерируют воздух, электричество и другие основные основы. Некоторые из этих предметов включают в себя: хранения единиц, изготовителя, балки, столы для крафта. Для того, чтобы создать или построить определенные утилиты, должны быть получены материалы, а необходимые навыки должны быть разблокированы. Некоторые предметы также могут быть найдены в игре, исследуя, как батареи, провода, тяжелый пулемет. Итак, такие как обычные повязки и медекиты, могут быть созданы с помощью 3D-принтера или изготовления.

8-5. Возможность реместите воды в пустой стеклянной банке возможна при накоплении кислорода и водорода. Блок регламента воды, построенный внутри среды обитания, также позволит закатиться за жажду каждые несколько минут ».";
",MISSING_TRANSLATION;",", Smuctle_Translation; »";
"*Storage containers are essential to keeping large amounts of materials safe.","* Контейнеры для хранения необходимы для обеспечения большого количества безопасных материалов.";
"*Crafting Utilities such as the 3D Printer can create small useful items.","* Crafting Утилиты, такие как 3D-принтер, могут создавать небольшие полезные элементы.";
"*Smelting equipment is necessary for melting down minerals for structure building and item crafting.","* Оборудование для плавки необходимо для плавления минералов для структуры здания и изделия изделия.";
"8-6. Structures are the constituent elements of the colony. Built on essentially a grid, the different components can be snapped together to create large colony complexes for growing food, research, and mutual survival. The current maximum for structures on a single planet is 200, or 20 per player. Aside from Habitats and Huts, there are a many other structures that can be built such as a Biodome, Laboratory, Furniture, Custom Wall Pieces and Utilities.
","8-6. Структуры являются составляющими элементами колонии. Построен на сетке, различные компоненты могут быть объединены для создания больших комплексов колонии для выращивания пищи, исследования и взаимного выживания. Текущий максимум для структур на одной планете составляет 200 или 20 или 20 на игрока. Помимо мест обитания и хижин, существует множество других структур, которые могут быть построены такими как биоэпоод, лаборатория, мебель, пользовательские стены и утилиты.
";
"*Biodome are perfect for cultivating food reserves.","* Biodome идеально подходит для культивирования запасов пищевых продуктов.";
"*Specialty furniture equipment in the HAB can be extremely useful.","* Специальная мебель для мебели в HAB может быть чрезвычайно полезным.";
"*Solar panels must be used to power structures and utilities.","* Солнечные панели должны использоваться для силовых структур и утилит.";
"*Create unique structures with custom prefabs.","* Создайте уникальные структуры с пользовательскими префиками.";
"*Laboratory is a factory system that can build vehicles and robots.","* Лаборатория - это заводская система, которая может построить транспортные средства и роботы.";
"8-7. To keep structures, vehicles and other important elements in proper working order, performing regular maintenance is necessary. Maintenance can be performed with the Multi-Tool. This is an indestructible tool used for repairing damaged structures, walls vehicles and droids.
","8-7. Сохранять структуры, транспортные средства и другие важные элементы в надлежащем рабочем состоянии, необходим регулярное обслуживание. Техническое обслуживание может быть выполнено с помощью мульти-инструмента. Это неразрушимый инструмент, используемый для восстановления поврежденных конструкций, стен транспортных средств и дроидов.
";
"*OMPA can be programmed to auto repair your colony structures.","* OMPA может быть запрограммирована на автоматическое восстановление ваших структур колоний.";
"*Repair your structures and equipment with the Multi-Tool.","* Ремонт ваших конструкций и оборудования с помощью мульти-инструмента.";
"Driver Training","Тренировка водителя";
"Planning for Space","Планирование места";
"Space Travel","Космическое путешествие";
"Space Walking","Космическая ходьба";
"9-1. Vehicles allow for rapid transportation across large distances, moving resources and more. There are two different types of vehicles<semicolon> hovering and wheeled. The durability, speed and maneuverability varies depending on the type of vehicle. They can be built using the Laboratory. Each type of vehicle will require different resources in order to craft.

9-2. Default Vehicle Controls:
Enter the vehicle - F key.
Directional Maneuvers - WASD keys.
Exit the vehicle -  F key.

9-3. Please Note:
- In certain vehicles, hold the shift key will activate a boost that uses a large amount of fuel to gain additional speed.

- When in third person view, it is possible to look left or right while driving.

- The Ground Assault Vehicle has the capacity for an an additional passenger who may control the turret.
","9-1 Транспортные средства позволяют быструю транспортировать на большие расстояния, движущиеся ресурсы и многое другое. Есть два различных типа транспортных средств <semicolon> парящие и колесные. Долговечность, скорость и маневренность варьируются в зависимости от типа транспортного средства. Они могут быть построены с использованием лаборатории. Каждый тип автомобиля потребует разных ресурсов для ремесла.

9-2. Управления автомобиля по умолчанию:
Введите клавишу автомобиля - F.
Направленные маневры - WASD ключей.
Выйдите из автомобиля - F ключ.

9-3. Пожалуйста, обрати внимание:
- В определенных автомобилях удерживайте клавишу Shift, активируют повышение, которое использует большое количество топлива для получения дополнительной скорости.

- Когда у третьего лица можно посмотреть влево или вправо во время вождения.

- Наземная штурмовая машина имеет возможность для дополнительного пассажира, который может контролировать турель.
";
"9-3. Before journeying out, prepare accordingly. Be sure that the vehicle used for operation is adequately fueled and in good working order. Check water and food supply to make certain that there is enough to sustain for the journey ahead. Bring any necessary resources and supplies that may be needed while away from the base.
","9-3. Прежде чем путешествовать, подготовиться соответственно. Убедитесь, что транспортное средство, используемое для эксплуатации, адекватно заправляется и в хорошем рабочем состоянии. Проверьте подачу воды и продуктов питания, чтобы убедиться, что для путешествия достаточно, чтобы поддержать путешествие. Принесите любые необходимые ресурсы и поставки, которые могут быть необходимы вдали от базы.
";
"9-4. Spaceships have a translational life that require a large amount of fuel when leaving the atmosphere. Prepare accordingly. Once in orbit, lack of gravity and friction allow for less fuel consumption. The following controls are used for operation of the Spaceship:

9-5. Default surface controls while flying:
Start the ship and accelerate - LMB
Land and deccelerate - RMB
Directional maneuvers - WASD keys from wherever the mouse is currently pointed.
","9-4. Космические корабли имеют трансляционную жизнь, которая требует большого количества топлива при выходе из атмосферы. Подготовьте соответственно. Однажды на орбите отсутствие гравитации и трения допускают меньшее расход топлива. Следующие элементы управления используются для работы космического корабля:

9-5. Управления поверхности по умолчанию во время полета:
Начать корабль и ускорить - LMB
Земля и деколитация - RMB
Направленные маневры - WASD ключей от везде, где мыши в настоящее время указана.
";
"9-7. The E.V.A. Suit has been designed to allow for prolonged Space Walks. Personnel may find themselves in a predicament where they need to leave their space station or ship and begin space walking. The default controls for space walking are as follows: 

Move Forward - W Key
Move Backward - S Key
Strafe Left - A Key
Strafe Right - D Key
Move Upward - Spacebar Key
Move Downward - Left Control Key
Orient to Camera - Right Mouse Button
Boost - Left Shift Key
","9-7. E.V.A. Костюм был разработан для обеспечения длительных прогулок. Персонал может оказаться в затруднениях, где им нужно покинуть свою космическую станцию ​​или корабль и начать прогулку. Управления по умолчанию для промежуточной ходьбы следующие:

Двигаться вперед - w ключ
Переместить клавишу назад - S
Strafe осталось - ключ
Strape правый - D ключ
Двигаться вверх - космический ключ
Переместить вниз - левый ключ управления
Ориентация на камеру - правая кнопка мыши
Boost - ключ левой смены
";
"9-8. Vehicles will require reparations and regular maintenance. The Multi Tool can be used to repair vehicles. Be sure to refuel each vehicle on a consistent basis. Refueling is performed by using the container that holds fuel. When prompted, press the [F] key.
","9-8. Транспортные средства потребуют репарации и регулярное обслуживание. Multi Tool можно использовать для ремонта автомобилей. Обязательно заправляйте каждое транспортное средство на согласованной основе. Заправка выполняется с использованием контейнера, который удерживает топливо. При появлении запроса нажмите клавишу [F].
";
"9. Vehicle Piloting and Aeronotics","9. Пилотирование автомобиля и аэронотики";
"Steering Behaviors","Рулевое поведение";
"Mining","Добыча";
"Repairing","Ремонт";
"10-1. The Osiris Mission Personal Assistant (O.M.P.A.) was developed to assist field personnel with their active duties on alien planets. Each O.M.P.A. has been installed with a set of upgradeable algorithms that include navigation, repair, mining, and self defense.

10-2. Follow: Activating the Follow procedure engages the O.M.P.A. unit to trail personnel. This will keep the unit nearby to provide assistance when needed.

10-3. Flank: Activating the Flank procedure engages the O.M.P.A. unit to lead. This maneuver is ideal for guarding personnel from oncoming attacks. The O.M.P.A. is also equipped with high tech sensors that can spot danger quickly and engage the threat before it gets nearby.

10-4. Engage (Passive): If the necessary upgrades have been installed, the O.M.P.A. unit will automatically engage hostile threats to protect human personnel from injuries and prevent structural damage.

10-5. Repair: Activating the Repair procedure engages the O.M.P.A. unit to patrol a specified area and repair any owned structures that have accrued any damage.

10-6. Mine: Activating the Mine procedure engages the O.M.P.A. unit to patrol a specified area and mine any valuable resources. If the necessary upgrades have been installed, the unit will also be able to detect nearby storage units and unload the collected materials.

10-7. Summon (Experimental): Each O.M.P.A. has been equipped with a newly discovered mineral that has been found to contain manipulatable quantum properties. The material has been harnessed to allow the unit to teleport when the Summon procedure is activated. Using this feature comes at a cost, in order to provide the necessary energy to activate the reaction, a large amount of power is drained from the battery power source.","10-1 Персональный помощник по миссии Осириса (O.M.P.A.) был разработан для оказания помощи на местах среди своих активных обязанностей на инопланетяне планеты. Каждая O.m.p.a. Был установлен с набором обновленных алгоритмов, которые включают навигацию, ремонт, добычу добычи и самообороны.

10-2. Следуйте: Активация процедуры следования вовлекает o.m.p.a. подразделение для трехого персонала. Это будет сохранять подразделение поблизости, чтобы обеспечить помощь при необходимости.

10-3. Фланга: активизация бокового процедура вовлекает o.m.p.a. подразделение для свинца. Этот маневра идеально подходит для охраны персонала от встречных атак. O.M.P.A. Также оснащена высокотехнологичными датчиками, которые могут быстро определить опасность и привлекать угрозу, прежде чем он попадет поблизости.

10-4. Вовлекать (пассивный): если были установлены необходимые обновления, O.m.p.a. Устройство будет автоматически привлекать враждебные угрозы для защиты персонала человека от травм и предотвращения структурных повреждений.

10-5. Ремонт: активация процедуры ремонта включает в себя o.m.p.a. Блок для патрулирования указанной области и восстановления любых собственных структур, которые начислены любой ущерб.

10-6. Мой: Активация процедуры шахты включает в себя o.m.p.a. подразделение для патрулирования указанной области и моими ценными ресурсами. Если были установлены необходимые обновления, устройство также сможет обнаруживать близлежащие блоки хранения и выгрузите собранные материалы.

10-7. Призыв (экспериментальный): каждый O.m.p.a. Был оснащен недавно обнаруженным минералом, который был обнаружен, содержащий манипулируемые квантовые свойства. Материал был запряжен, чтобы позволить устройству телепортироваться, когда активирована процедура Summon. Использование этой функции происходит по стоимости, чтобы обеспечить необходимую энергию для активации реакции, большое количество мощности сливается от источника питания батареи.";
